name,bugfreq,bugrank
org.apache.avro.Schema_java,97,1
org.apache.avro.io.BinaryData_java,12,51
org.apache.avro.util.Utf8_java,15,39
org.apache.avro.io.Decoder_java,11,59
org.apache.avro.io.DatumReader_java,0,0
org.apache.avro.generic.GenericContainer_java,0,0
org.apache.avro.generic.GenericData_java,89,2
org.apache.avro.io.parsing.Symbol_java,31,20
org.apache.avro.io.parsing.ValidatingGrammarGenerator_java,12,51
org.apache.avro.io.BinaryEncoder_java,10,70
org.apache.avro.io.parsing.ResolvingGrammarGenerator_java,34,16
org.apache.avro.io.parsing.Parser_java,10,70
org.apache.avro.io.ParsingDecoder_java,5,109
org.apache.avro.io.ValidatingDecoder_java,14,42
org.apache.avro.io.parsing.SkipParser_java,9,79
org.apache.avro.io.ResolvingDecoder_java,22,27
org.apache.avro.generic.GenericDatumReader_java,59,5
org.apache.avro.Protocol_java,32,19
org.apache.avro.io.BlockingBinaryEncoder_java,11,59
org.apache.avro.generic.GenericDatumWriter_java,37,11
org.apache.avro.io.DatumWriter_java,0,0
org.apache.avro.specific.SpecificData_java,47,6
org.apache.avro.specific.SpecificRecord_java,5,109
org.apache.avro.specific.SpecificCompiler_java,35,13
org.apache.avro.io.parsing.JsonGrammarGenerator_java,12,51
org.apache.avro.io.JsonEncoder_java,20,31
org.apache.avro.io.JsonDecoder_java,23,25
org.apache.avro.reflect.ReflectData_java,78,4
org.apache.avro.io.ValidatingEncoder_java,13,46
org.apache.avro.file.CodecFactory_java,11,59
org.apache.avro.file.DataFileStream_java,23,25
org.apache.avro.file.DataFileReader_java,21,29
org.apache.avro.file.DataFileWriter_java,34,16
org.apache.avro.specific.SpecificDatumWriter_java,18,32
org.apache.avro.specific.SpecificDatumReader_java,27,21
org.apache.avro.reflect.ReflectDatumWriter_java,36,12
org.apache.avro.ipc.Responder_java,35,13
org.apache.avro.ipc.Transceiver_java,8,86
org.apache.avro.ipc.Requestor_java,34,16
org.apache.avro.io.TestValidatingIO_java,15,39
org.apache.avro.tool.JsonToBinaryFragmentTool_java,11,59
org.apache.avro.reflect.ReflectDatumReader_java,38,8
org.apache.avro.tool.BinaryFragmentToJsonTool_java,12,51
org.apache.avro.tool.Util_java,13,46
org.apache.avro.RandomData_java,21,29
org.apache.avro.generic.GenericRequestor_java,9,79
org.apache.avro.specific.SpecificRequestor_java,14,42
org.apache.avro.generic.GenericResponder_java,5,109
org.apache.avro.tool.DataFileWriteTool_java,10,70
org.apache.avro.tool.DataFileReadTool_java,11,59
org.apache.avro.tool.DataFileGetSchemaTool_java,0,0
org.apache.avro.specific.SpecificResponder_java,12,51
org.apache.avro.reflect.ReflectRequestor_java,10,70
org.apache.avro.tool.RpcSendTool_java,10,70
org.apache.avro.reflect.ReflectResponder_java,14,42
org.apache.avro.io.Perf_java,22,27
org.apache.avro.TestCompare_java,16,35
org.apache.avro.TestDataFileDeflate_java,0,0
org.apache.avro.TestDataFileConcat_java,8,86
org.apache.avro.TestReflect_java,39,7
org.apache.avro.reflect.Stringable_java,0,0
org.apache.avro.TestDataFileReflect_java,12,51
org.apache.avro.TestDataFile_java,38,8
org.apache.avro.io.TestResolvingIOResolving_java,13,46
org.apache.avro.io.TestResolvingIO_java,13,46
org.apache.avro.specific.SpecificRecordBase_java,16,35
org.apache.avro.tool.TestDataFileTools_java,17,33
org.apache.avro.io.TestEncoders_java,10,70
org.apache.avro.TestDataFileMeta_java,7,94
org.apache.avro.io.parsing.TestResolvingGrammarGenerator_java,7,94
org.apache.avro.generic.TestGenericDatumWriter_java,10,70
org.apache.avro.TestProtocolGenericMeta_java,6,102
org.apache.avro.TestProtocolGeneric_java,27,21
org.apache.avro.reflect.InduceSchemaTool_java,5,109
org.apache.avro.TestSchema_java,83,3
org.apache.avro.specific.TestSpecificCompiler_java,8,86
org.apache.avro.tool.TestJsonToFromBinaryFragmentTools_java,9,79
org.apache.avro.generic.TestGenericData_java,35,13
org.apache.avro.io.TestBinaryDecoder_java,16,35
org.apache.avro.GenerateBlockingData_java,8,86
org.apache.avro.specific.SpecificExceptionBase_java,10,70
