root_id,leading_class(lc),drspace_size,bug_freq, bug_rank,bsc,dsb,nonduplicate_size,cover_up_to
1,org.apache.avro.Schema_java,81,97,1,0.6198347,0.9259259,81,0.6198347210884094
2,org.apache.avro.ipc.Transceiver_java,26,8,86,0.17355372,0.8076923,100,0.7355371713638306
