name,bugfreq,bugrank
org.apache.hadoop.hive.ql.processors.CommandProcessorResponse_java,15,782
org.apache.hadoop.hive.ql.processors.CommandProcessor_java,9,1468
org.apache.hadoop.hive.ql.Driver_java,368,7
org.apache.hadoop.hive.ql.processors.CommandUtil_java,12,1040
org.apache.hadoop.hive.ql.processors.SetProcessor_java,41,196
org.apache.hadoop.hive.ql.txn.compactor.Initiator_java,41,196
org.apache.hadoop.hive.ql.txn.compactor.Worker_java,37,221
org.apache.hadoop.hive.ql.processors.DfsProcessor_java,16,713
org.apache.hadoop.hive.ql.processors.CompileProcessor_java,10,1283
org.apache.hadoop.hive.ql.security.FolderPermissionBase_java,14,844
org.apache.hive.hcatalog.data.HCatDataCheckUtil_java,6,2117
org.apache.hive.hcatalog.MiniCluster_java,0,0
org.apache.hadoop.hive.ql.processors.AddResourceProcessor_java,16,713
org.apache.hadoop.hive.ql.processors.ReloadProcessor_java,7,1897
org.apache.hadoop.hive.ql.processors.CryptoProcessor_java,6,2117
org.apache.hadoop.hive.ql.processors.ListResourceProcessor_java,5,2390
org.apache.hadoop.hive.ql.processors.DeleteResourceProcessor_java,15,782
org.apache.hadoop.hive.ql.processors.ResetProcessor_java,10,1283
org.apache.hadoop.hive.cli.CliDriver_java,109,39
org.apache.hadoop.hive.ql.exec.tez.TezJobExecHelper_java,5,2390
org.apache.hive.service.cli.operation.Operation_java,56,120
org.apache.hive.service.cli.operation.HiveCommandOperation_java,28,355
org.apache.hive.service.cli.operation.SQLOperation_java,82,67
org.apache.hadoop.hive.hwi.HWISessionManager_java,9,1468
org.apache.hadoop.hive.hwi.HWISessionItem_java,18,612
org.apache.hadoop.hive.ql.QTestUtil_java,296,10
org.apache.hive.hcatalog.mapreduce.TestHCatNonPartitioned_java,6,2117
org.apache.hive.hcatalog.mapreduce.TestHCatDynamicPartitioned_java,7,1897
org.apache.hive.hcatalog.mapreduce.TestHCatPartitioned_java,7,1897
org.apache.hive.hcatalog.mapreduce.TestHCatHiveCompatibility_java,0,0
