name,bugfreq,bugrank
org.apache.hadoop.hive.ql.io.HiveKey_java,9,1468
org.apache.hadoop.hive.ql.exec.spark.SparkShuffler_java,7,1897
org.apache.hadoop.hive.ql.exec.TopNHash_java,13,931
org.apache.hadoop.hive.ql.exec.PTFTopNHash_java,0,0
org.apache.hadoop.hive.ql.exec.ReduceSinkOperator_java,75,76
org.apache.hadoop.hive.ql.stats.StatsAggregator_java,8,1688
org.apache.hadoop.hive.ql.exec.FileSinkOperator_java,179,18
org.apache.hadoop.hive.ql.exec.StatsTask_java,60,106
org.apache.hadoop.hive.ql.stats.StatsFactory_java,13,931
org.apache.hadoop.hive.ql.exec.persistence.KeyValueContainer_java,6,2117
org.apache.hadoop.hive.ql.exec.persistence.HybridHashTableContainer_java,39,208
org.apache.hadoop.hive.ql.exec.spark.session.SparkSession_java,9,1468
org.apache.hadoop.hive.ql.exec.spark.SparkUtilities_java,41,196
org.apache.hadoop.hive.ql.exec.spark.session.SparkSessionManager_java,0,0
org.apache.hadoop.hive.ql.exec.spark.status.SparkJobRef_java,6,2117
org.apache.hadoop.hive.ql.exec.spark.status.SparkJobStatus_java,16,713
org.apache.hadoop.hive.ql.exec.MapJoinOperator_java,136,29
org.apache.hadoop.hive.ql.exec.spark.HiveVoidFunction_java,5,2390
org.apache.hadoop.hive.ql.exec.spark.ShuffleTran_java,14,844
org.apache.hadoop.hive.ql.exec.spark.MapInput_java,14,844
org.apache.hadoop.hive.ql.exec.spark.HiveBaseFunctionResultList_java,12,1040
org.apache.hadoop.hive.ql.exec.spark.HiveKVResultCache_java,7,1897
org.apache.hadoop.hive.ql.exec.spark.HiveReduceFunctionResultList_java,10,1283
org.apache.hadoop.hive.ql.exec.spark.HiveReduceFunction_java,18,612
org.apache.hadoop.hive.ql.exec.spark.ReduceTran_java,17,654
org.apache.hadoop.hive.ql.exec.spark.SparkPlan_java,22,487
org.apache.hadoop.hive.ql.exec.spark.HiveSparkClientFactory_java,46,164
org.apache.hadoop.hive.ql.exec.spark.LocalHiveSparkClient_java,22,487
org.apache.hadoop.hive.ql.exec.spark.RemoteHiveSparkClient_java,57,118
org.apache.hadoop.hive.ql.exec.spark.session.SparkSessionManagerImpl_java,18,612
org.apache.hadoop.hive.ql.exec.spark.session.SparkSessionImpl_java,27,376
org.apache.hadoop.hive.ql.exec.spark.MapTran_java,13,931
org.apache.hadoop.hive.ql.exec.spark.HiveMapFunction_java,18,612
org.apache.hadoop.hive.ql.exec.spark.GroupByShuffler_java,9,1468
org.apache.hadoop.hive.ql.exec.spark.SortByShuffler_java,13,931
org.apache.hadoop.hive.ql.exec.tez.DagUtils_java,124,32
org.apache.hadoop.hive.ql.plan.ScriptDesc_java,7,1897
org.apache.hadoop.hive.ql.exec.spark.SparkTask_java,68,87
org.apache.hadoop.hive.ql.exec.ScriptOperator_java,55,122
org.apache.hadoop.hive.ql.exec.PartitionKeySampler_java,8,1688
org.apache.hadoop.hive.ql.exec.HiveTotalOrderPartitioner_java,0,0
org.apache.hadoop.hive.ql.exec.mr.ExecDriver_java,82,67
org.apache.hadoop.hive.ql.exec.vector.reducesink.VectorReduceSinkCommonOperator_java,20,546
org.apache.hadoop.hive.ql.exec.spark.TestHiveKVResultCache_java,8,1688
org.apache.hadoop.hive.ql.io.HiveNullValueSequenceFileOutputFormat_java,8,1688
