name,bugfreq,bugrank
org.apache.hadoop.hive.serde2.objectinspector.PrimitiveObjectInspector_java,18,612
org.apache.hadoop.hive.serde2.typeinfo.PrimitiveTypeInfo_java,9,1468
org.apache.hadoop.hive.serde2.typeinfo.BaseCharUtils_java,0,0
org.apache.hadoop.hive.serde2.typeinfo.BaseCharTypeInfo_java,0,0
org.apache.hadoop.hive.serde2.typeinfo.DecimalTypeInfo_java,0,0
org.apache.hadoop.hive.serde2.typeinfo.HiveDecimalUtils_java,10,1283
org.apache.hadoop.hive.serde2.typeinfo.TypeInfoUtils_java,39,208
org.apache.hadoop.hive.serde2.typeinfo.VarcharTypeInfo_java,6,2117
org.apache.hadoop.hive.serde2.typeinfo.CharTypeInfo_java,5,2390
org.apache.hadoop.hive.serde2.typeinfo.TypeInfoFactory_java,24,428
org.apache.hadoop.hive.serde2.objectinspector.primitive.AbstractPrimitiveObjectInspector_java,10,1283
org.apache.hadoop.hive.serde2.lazy.objectinspector.primitive.AbstractPrimitiveLazyObjectInspector_java,5,2390
org.apache.hadoop.hive.serde2.ByteStream_java,8,1688
org.apache.hadoop.hive.serde2.lazybinary.LazyBinaryUtils_java,33,255
org.apache.hadoop.hive.serde2.io.TimestampWritable_java,21,513
org.apache.hadoop.hive.serde2.binarysortable.BinarySortableSerDe_java,40,205
org.apache.hadoop.hive.serde2.objectinspector.primitive.AbstractPrimitiveJavaObjectInspector_java,6,2117
org.apache.hadoop.hive.serde2.objectinspector.primitive.WritableStringObjectInspector_java,7,1897
org.apache.hadoop.hive.serde2.objectinspector.primitive.AbstractPrimitiveWritableObjectInspector_java,6,2117
org.apache.hadoop.hive.serde2.objectinspector.ObjectInspectorConverters_java,30,311
org.apache.hadoop.hive.serde2.objectinspector.primitive.PrimitiveObjectInspectorFactory_java,29,331
org.apache.hadoop.hive.metastore.PartitionExpressionProxy_java,7,1897
org.apache.hadoop.hive.ql.io.orc.OrcStruct_java,28,355
org.apache.hadoop.hive.ql.io.orc.OrcUnion_java,7,1897
org.apache.hadoop.hive.serde2.binarysortable.MyTestPrimitiveClass_java,8,1688
org.apache.hadoop.hive.serde2.avro.AvroDeserializer_java,30,311
org.apache.hadoop.hive.serde2.avro.AvroObjectInspectorGenerator_java,5,2390
org.apache.hadoop.hive.serde2.avro.SchemaResolutionProblem_java,0,0
org.apache.hadoop.hive.serde2.avro.TypeInfoToSchema_java,8,1688
org.apache.hive.service.cli.thrift.TCLIServiceConstants_java,14,844
org.apache.hive.service.cli.TypeQualifiers_java,8,1688
org.apache.hive.service.cli.TypeDescriptor_java,11,1145
org.apache.hadoop.hive.serde2.VerifyFast_java,13,931
org.apache.hadoop.hive.serde2.avro.TestAvroObjectInspectorGenerator_java,8,1688
org.apache.hadoop.hive.serde2.lazy.objectinspector.primitive.LazyPrimitiveObjectInspectorFactory_java,23,458
org.apache.hadoop.hive.serde2.lazy.LazyFactory_java,30,311
org.apache.hadoop.hive.serde2.binarysortable.fast.BinarySortableDeserializeRead_java,17,654
org.apache.hadoop.hive.serde2.lazybinary.fast.LazyBinaryDeserializeRead_java,16,713
org.apache.hadoop.hive.serde2.lazy.fast.LazySimpleDeserializeRead_java,28,355
org.apache.hadoop.hive.accumulo.serde.DefaultAccumuloRowIdFactory_java,6,2117
org.apache.hadoop.hive.accumulo.serde.CompositeAccumuloRowIdFactory_java,5,2390
org.apache.hadoop.hive.metastore.ObjectStore_java,347,8
org.apache.hadoop.hive.metastore.hbase.HBaseStore_java,63,98
org.apache.hadoop.hive.ql.udf.generic.GenericUDFUtils_java,25,408
