name,bugfreq,bugrank
org.apache.hadoop.hive.ql.history.HiveHistory_java,26,389
org.apache.hadoop.hive.ql.stats.StatsPublisher_java,5,2390
org.apache.hadoop.hive.ql.stats.StatsCollectionContext_java,5,2390
org.apache.hadoop.hive.ql.exec.Task_java,71,82
org.apache.hadoop.hive.ql.exec.TaskRunner_java,20,546
org.apache.hadoop.hive.ql.index.HiveIndexHandler_java,8,1688
org.apache.hadoop.hive.ql.index.HiveIndexQueryContext_java,0,0
org.apache.hadoop.hive.ql.exec.OperatorUtils_java,35,239
org.apache.hadoop.hive.ql.exec.NodeUtils_java,0,0
org.apache.hadoop.hive.ql.plan.ConditionalResolver_java,8,1688
org.apache.hadoop.hive.ql.exec.ConditionalTask_java,23,458
org.apache.hadoop.hive.ql.QueryPlan_java,39,208
org.apache.hadoop.hive.ql.stats.StatsUtils_java,86,63
org.apache.hadoop.hive.ql.parse.PrunedPartitionList_java,11,1145
org.apache.hadoop.hive.ql.plan.StatsWork_java,17,654
org.apache.hadoop.hive.ql.plan.CreateTableDesc_java,49,149
org.apache.hadoop.hive.ql.plan.LoadFileDesc_java,19,573
org.apache.hadoop.hive.ql.exec.mr.HadoopJobExecHelper_java,32,275
org.apache.hadoop.hive.ql.exec.mr.MapRedTask_java,33,255
org.apache.hadoop.hive.ql.io.HiveInputFormat_java,137,28
org.apache.hadoop.hive.ql.exec.spark.SparkDynamicPartitionPruner_java,9,1468
org.apache.hadoop.hive.ql.DriverContext_java,15,782
org.apache.hadoop.hive.ql.exec.FunctionTask_java,41,196
org.apache.hadoop.hive.ql.metadata.Hive_java,415,5
org.apache.hadoop.hive.ql.exec.FetchTask_java,55,122
org.apache.hadoop.hive.ql.plan.ExplainWork_java,25,408
org.apache.hadoop.hive.ql.optimizer.physical.PhysicalPlanResolver_java,5,2390
org.apache.hadoop.hive.ql.optimizer.physical.PhysicalContext_java,5,2390
org.apache.hadoop.hive.ql.optimizer.physical.StageIDsRearranger_java,0,0
org.apache.hadoop.hive.ql.exec.ExplainTask_java,97,52
org.apache.hadoop.hive.ql.parse.BaseSemanticAnalyzer_java,167,19
org.apache.hadoop.hive.ql.stats.StatsAggregator_java,8,1688
org.apache.hadoop.hive.ql.exec.FileSinkOperator_java,179,18
org.apache.hadoop.hive.ql.exec.StatsTask_java,60,106
org.apache.hadoop.hive.ql.stats.StatsFactory_java,13,931
org.apache.hadoop.hive.ql.exec.mr.MapredLocalTask_java,62,101
org.apache.hadoop.hive.ql.exec.SecureCmdDoAs_java,9,1468
org.apache.hadoop.hive.ql.io.orc.OrcFileStripeMergeRecordReader_java,9,1468
org.apache.hadoop.hive.ql.io.merge.MergeFileTask_java,15,782
org.apache.hadoop.hive.ql.io.orc.OrcFileStripeMergeInputFormat_java,0,0
org.apache.hadoop.hive.ql.io.merge.MergeFileWork_java,6,2117
org.apache.hadoop.hive.ql.index.IndexMetadataChangeTask_java,8,1688
org.apache.hadoop.hive.ql.io.rcfile.stats.PartialScanWork_java,8,1688
org.apache.hadoop.hive.ql.io.rcfile.stats.PartialScanTask_java,31,293
org.apache.hadoop.hive.ql.exec.tez.TezTask_java,100,46
org.apache.hadoop.hive.ql.exec.TaskFactory_java,46,164
org.apache.hadoop.hive.ql.history.HiveHistoryImpl_java,10,1283
org.apache.hadoop.hive.ql.parse.ParseContext_java,69,85
org.apache.hadoop.hive.ql.exec.spark.SparkTask_java,68,87
org.apache.hadoop.hive.ql.exec.ScriptOperator_java,55,122
org.apache.hadoop.hive.ql.exec.PartitionKeySampler_java,8,1688
org.apache.hadoop.hive.ql.exec.mr.ExecDriver_java,82,67
org.apache.hadoop.hive.ql.exec.ColumnStatsUpdateTask_java,22,487
org.apache.hadoop.hive.ql.parse.authorization.HiveAuthorizationTaskFactory_java,6,2117
org.apache.hadoop.hive.ql.parse.authorization.HiveAuthorizationTaskFactoryImpl_java,22,487
org.apache.hadoop.hive.ql.parse.DDLSemanticAnalyzer_java,334,9
org.apache.hadoop.hive.ql.exec.Utilities_java,381,6
org.apache.hadoop.hive.ql.parse.ExplainSemanticAnalyzer_java,51,144
org.apache.hadoop.hive.ql.optimizer.IndexUtils_java,14,844
org.apache.hadoop.hive.ql.optimizer.physical.index.IndexWhereProcCtx_java,0,0
org.apache.hadoop.hive.ql.parse.IndexUpdater_java,12,1040
org.apache.hadoop.hive.ql.parse.LoadSemanticAnalyzer_java,87,62
org.apache.hadoop.hive.ql.optimizer.physical.index.IndexWhereProcessor_java,12,1040
org.apache.hadoop.hive.ql.parse.MacroSemanticAnalyzer_java,12,1040
org.apache.hadoop.hive.ql.lib.PreOrderWalker_java,8,1688
org.apache.hadoop.hive.ql.parse.ExplainSQRewriteSemanticAnalyzer_java,7,1897
org.apache.hadoop.hive.ql.exec.ExplainSQRewriteTask_java,5,2390
org.apache.hadoop.hive.ql.parse.ExportSemanticAnalyzer_java,33,255
org.apache.hadoop.hive.ql.metadata.PartitionIterable_java,0,0
org.apache.hadoop.hive.ql.parse.ImportSemanticAnalyzer_java,99,49
org.apache.hadoop.hive.ql.parse.HiveSemanticAnalyzerHook_java,0,0
org.apache.hadoop.hive.ql.Driver_java,368,7
org.apache.hadoop.hive.ql.optimizer.physical.AbstractJoinTaskDispatcher_java,7,1897
org.apache.hadoop.hive.ql.lib.TaskGraphWalker_java,0,0
org.apache.hadoop.hive.ql.exec.DependencyCollectionTask_java,0,0
org.apache.hadoop.hive.ql.optimizer.GenMRProcContext_java,30,311
org.apache.hadoop.hive.ql.exec.MoveTask_java,145,24
org.apache.hadoop.hive.ql.plan.ConditionalResolverMergeFiles_java,37,221
org.apache.hadoop.hive.ql.optimizer.GenMapRedUtils_java,182,16
org.apache.hadoop.hive.ql.plan.ConditionalResolverCommonJoin_java,13,931
org.apache.hadoop.hive.ql.optimizer.physical.CommonJoinTaskDispatcher_java,33,255
org.apache.hadoop.hive.ql.index.AbstractIndexHandler_java,0,0
org.apache.hadoop.hive.ql.index.TableBasedIndexHandler_java,9,1468
org.apache.hadoop.hive.ql.index.compact.CompactIndexHandler_java,29,331
org.apache.hadoop.hive.ql.optimizer.physical.NullScanOptimizer_java,8,1688
org.apache.hadoop.hive.ql.optimizer.physical.NullScanTaskDispatcher_java,14,844
org.apache.hadoop.hive.ql.parse.TaskCompiler_java,68,87
org.apache.hadoop.hive.ql.exec.ColumnStatsTask_java,29,331
org.apache.hadoop.hive.ql.optimizer.physical.Vectorizer_java,191,15
org.apache.hadoop.hive.ql.plan.ConditionalResolverSkewJoin_java,11,1145
org.apache.hadoop.hive.ql.optimizer.physical.SkewJoinResolver_java,13,931
org.apache.hadoop.hive.ql.optimizer.physical.GenMRSkewJoinProcessor_java,44,175
org.apache.hadoop.hive.ql.optimizer.physical.SkewJoinProcFactory_java,5,2390
org.apache.hadoop.hive.ql.optimizer.physical.LocalMapJoinProcFactory_java,17,654
org.apache.hadoop.hive.ql.optimizer.physical.MapJoinResolver_java,19,573
org.apache.hadoop.hive.ql.optimizer.physical.CrossProductCheck_java,8,1688
org.apache.hadoop.hive.ql.optimizer.MapJoinFactory_java,22,487
org.apache.hadoop.hive.ql.optimizer.GenMRUnion1_java,30,311
org.apache.hadoop.hive.ql.optimizer.GenMRTableScan1_java,44,175
org.apache.hadoop.hive.ql.optimizer.physical.SamplingOptimizer_java,8,1688
org.apache.hadoop.hive.ql.optimizer.physical.BucketingSortingOpProcFactory_java,9,1468
org.apache.hadoop.hive.ql.optimizer.physical.BucketingSortingInferenceOptimizer_java,8,1688
org.apache.hadoop.hive.ql.optimizer.physical.SortMergeJoinTaskDispatcher_java,21,513
org.apache.hadoop.hive.ql.optimizer.physical.SortMergeJoinResolver_java,0,0
org.apache.hadoop.hive.ql.optimizer.physical.IndexWhereResolver_java,0,0
org.apache.hadoop.hive.ql.optimizer.physical.index.IndexWhereTaskDispatcher_java,11,1145
org.apache.hadoop.hive.ql.index.bitmap.BitmapIndexHandler_java,16,713
org.apache.hadoop.hive.ql.optimizer.GenMRRedSink3_java,13,931
org.apache.hadoop.hive.ql.optimizer.GenMRFileSink1_java,77,74
org.apache.hadoop.hive.ql.optimizer.GenMRRedSink2_java,11,1145
org.apache.hadoop.hive.ql.optimizer.GenMRRedSink1_java,14,844
org.apache.hadoop.hive.ql.parse.MapReduceCompiler_java,21,513
org.apache.hadoop.hive.ql.parse.spark.GenSparkProcContext_java,17,654
org.apache.hadoop.hive.ql.parse.spark.SparkSMBMapJoinInfo_java,0,0
org.apache.hadoop.hive.ql.optimizer.spark.SparkSortMergeJoinFactory_java,6,2117
org.apache.hadoop.hive.ql.parse.spark.GenSparkUtils_java,49,149
org.apache.hadoop.hive.ql.parse.spark.GenSparkWork_java,21,513
org.apache.hadoop.hive.ql.parse.spark.SparkProcessAnalyzeTable_java,23,458
org.apache.hadoop.hive.ql.optimizer.spark.SplitSparkWorkResolver_java,5,2390
org.apache.hadoop.hive.ql.optimizer.spark.SetSparkReducerParallelism_java,23,458
org.apache.hadoop.hive.ql.optimizer.OperatorComparatorFactory_java,7,1897
org.apache.hadoop.hive.ql.optimizer.spark.CombineEquivalentWorkResolver_java,11,1145
org.apache.hadoop.hive.ql.exec.CollectOperator_java,18,612
org.apache.hadoop.hive.ql.parse.spark.GenSparkWorkWalker_java,5,2390
org.apache.hadoop.hive.ql.parse.spark.SplitOpTreeForDPP_java,9,1468
org.apache.hadoop.hive.ql.parse.spark.SparkFileSinkProcessor_java,0,0
org.apache.hadoop.hive.ql.optimizer.spark.SparkReduceSinkMapJoinProc_java,17,654
org.apache.hadoop.hive.ql.optimizer.physical.SparkCrossProductCheck_java,8,1688
org.apache.hadoop.hive.ql.optimizer.physical.GenSparkSkewJoinProcessor_java,24,428
org.apache.hadoop.hive.ql.optimizer.physical.SparkMapJoinResolver_java,20,546
org.apache.hadoop.hive.ql.optimizer.spark.SparkSkewJoinResolver_java,6,2117
org.apache.hadoop.hive.ql.optimizer.spark.SparkSkewJoinProcFactory_java,11,1145
org.apache.hadoop.hive.ql.parse.spark.SparkCompiler_java,43,180
org.apache.hadoop.hive.ql.parse.GenTezProcContext_java,29,331
org.apache.hadoop.hive.ql.parse.GenTezUtils_java,58,115
org.apache.hadoop.hive.ql.parse.ProcessAnalyzeTable_java,21,513
org.apache.hadoop.hive.ql.optimizer.MergeJoinProc_java,9,1468
org.apache.hadoop.hive.ql.parse.GenTezWorkWalker_java,0,0
org.apache.hadoop.hive.ql.parse.AppMasterEventProcessor_java,0,0
org.apache.hadoop.hive.ql.parse.FileSinkProcessor_java,6,2117
org.apache.hadoop.hive.ql.parse.UnionProcessor_java,0,0
org.apache.hadoop.hive.ql.optimizer.physical.MemoryDecider_java,5,2390
org.apache.hadoop.hive.ql.parse.GenTezWork_java,44,175
org.apache.hadoop.hive.ql.optimizer.ReduceSinkMapJoinProc_java,33,255
org.apache.hadoop.hive.ql.optimizer.physical.LlapDecider_java,28,355
org.apache.hadoop.hive.ql.optimizer.physical.SerializeFilter_java,6,2117
org.apache.hadoop.hive.ql.parse.TezCompiler_java,79,73
org.apache.hadoop.hive.ql.optimizer.StatsOptimizer_java,48,153
org.apache.hadoop.hive.ql.index.AggregateIndexHandler_java,10,1283
org.apache.hadoop.hive.ql.parse.SemanticAnalyzer_java,896,2
org.apache.hadoop.hive.ql.parse.authorization.AuthorizationTestUtil_java,5,2390
org.apache.hadoop.hive.ql.parse.AbstractSemanticAnalyzerHook_java,0,0
org.apache.hadoop.hive.ql.io.rcfile.truncate.ColumnTruncateTask_java,23,458
org.apache.hadoop.hive.ql.exec.DDLTask_java,464,4
org.apache.hive.hcatalog.cli.SemanticAnalysis.HCatSemanticAnalyzerBase_java,5,2390
org.apache.hive.hcatalog.cli.SemanticAnalysis.CreateTableHook_java,10,1283
org.apache.hive.hcatalog.cli.SemanticAnalysis.CreateDatabaseHook_java,0,0
org.apache.hive.hcatalog.cli.SemanticAnalysis.HCatSemanticAnalyzer_java,14,844
org.apache.hive.service.cli.operation.SQLOperation_java,82,67
org.apache.hive.service.cli.operation.LogDivertAppender_java,15,782
org.apache.hadoop.hive.ql.QTestUtil_java,296,10
org.apache.hadoop.hive.ql.metadata.DummySemanticAnalyzerHook1_java,0,0
org.apache.hadoop.hive.ql.hooks.VerifyHooksRunInOrder_java,0,0
org.apache.hadoop.hive.ql.hooks.PostExecOrcFileDump_java,6,2117
org.apache.hadoop.hive.ql.exec.TestExecDriver_java,62,101
org.apache.hadoop.hive.ql.exec.TestOperators_java,59,111
org.apache.hadoop.hive.ql.hooks.LineageLogger_java,14,844
org.apache.hadoop.hive.hooks.TestHs2Hooks_java,8,1688
org.apache.hive.minikdc.TestHs2HooksWithMiniKdc_java,7,1897
org.apache.hadoop.hive.ql.hooks.MapJoinCounterHook_java,0,0
org.apache.hadoop.hive.ql.exec.CopyTask_java,34,244
org.apache.hadoop.hive.ql.parse.TestQBCompact_java,9,1468
org.apache.hadoop.hive.ql.parse.TestHiveDecimalParse_java,10,1283
org.apache.hadoop.hive.ql.hooks.PostExecTezSummaryPrinter_java,8,1688
org.apache.hadoop.hive.ql.parse.TestMacroSemanticAnalyzer_java,9,1468
org.apache.hadoop.hive.ql.parse.TestGenTezWork_java,8,1688
org.apache.hadoop.hive.ql.plan.TestReadEntityDirect_java,6,2117
org.apache.hadoop.hive.ql.plan.TestViewEntity_java,8,1688
org.apache.hadoop.hive.ql.io.TestSymlinkTextInputFormat_java,23,458
org.apache.hive.hcatalog.mapreduce.TestHCatMultiOutputFormat_java,17,654
org.apache.hadoop.hive.ql.metadata.DummySemanticAnalyzerHook_java,0,0
org.apache.hadoop.hive.ql.hooks.VerifyHiveSortedInputFormatUsedHook_java,0,0
org.apache.hadoop.hive.ql.hooks.VerifyIsLocalModeHook_java,0,0
org.apache.hadoop.hive.ql.exec.tez.TestTezTask_java,33,255
org.apache.hive.jdbc.miniHS2.TestHs2Metrics_java,7,1897
