name,bugfreq,bugrank
org.apache.hadoop.hive.metastore.Warehouse_java,81,71
org.apache.hadoop.hive.metastore.MetaStoreUtils_java,146,23
org.apache.hadoop.hive.metastore.RawStoreProxy_java,6,2117
org.apache.hadoop.hive.metastore.HiveMetaStore_java,471,3
org.apache.hadoop.hive.metastore.parser.ExpressionTree_java,23,458
org.apache.hadoop.hive.metastore.PartFilterExprUtil_java,5,2390
org.apache.hadoop.hive.metastore.HiveMetaStoreClient_java,247,12
org.apache.hadoop.hive.metastore.MetaStoreDirectSql_java,112,37
org.apache.hadoop.hive.metastore.ObjectStore_java,347,8
org.apache.hadoop.hive.ql.metadata.Table_java,113,36
org.apache.hadoop.hive.ql.metadata.Partition_java,67,90
org.apache.hadoop.hive.ql.security.authorization.HiveAuthorizationProvider_java,0,0
org.apache.hadoop.hive.ql.security.authorization.AuthorizationUtils_java,16,713
org.apache.hadoop.hive.ql.security.authorization.plugin.sqlstd.SQLAuthorizationUtils_java,22,487
org.apache.hadoop.hive.ql.lockmgr.HiveLockObject_java,24,428
org.apache.hadoop.hive.metastore.RetryingMetaStoreClient_java,23,458
org.apache.hadoop.hive.ql.metadata.SessionHiveMetaStoreClient_java,44,175
org.apache.hadoop.hive.ql.metadata.Hive_java,415,5
org.apache.hadoop.hive.ql.exec.FetchTask_java,55,122
org.apache.hadoop.hive.ql.stats.StatsAggregator_java,8,1688
org.apache.hadoop.hive.ql.exec.FileSinkOperator_java,179,18
org.apache.hadoop.hive.ql.exec.StatsTask_java,60,106
org.apache.hadoop.hive.ql.stats.StatsFactory_java,13,931
org.apache.hadoop.hive.ql.plan.PlanUtils_java,100,46
org.apache.hadoop.hive.ql.session.SessionState_java,201,14
org.apache.hadoop.hive.ql.exec.ArchiveUtils_java,15,782
org.apache.hadoop.hive.ql.parse.DDLSemanticAnalyzer_java,334,9
org.apache.hadoop.hive.ql.exec.Utilities_java,381,6
org.apache.hadoop.hive.ql.parse.MacroSemanticAnalyzer_java,12,1040
org.apache.hadoop.hive.ql.lib.PreOrderWalker_java,8,1688
org.apache.hadoop.hive.ql.metadata.formatting.TextMetaDataFormatter_java,42,185
org.apache.hadoop.hive.ql.metadata.formatting.MetaDataPrettyFormatUtils_java,6,2117
org.apache.hadoop.hive.ql.metadata.formatting.MetaDataFormatUtils_java,42,185
org.apache.hadoop.hive.ql.metadata.formatting.JsonMetaDataFormatter_java,29,331
org.apache.hadoop.hive.ql.Driver_java,368,7
org.apache.hadoop.hive.ql.exec.MoveTask_java,145,24
org.apache.hadoop.hive.ql.optimizer.index.RewriteQueryUsingAggregateIndexCtx_java,19,573
org.apache.hadoop.hive.ql.parse.SemanticAnalyzer_java,896,2
org.apache.hadoop.hive.ql.metadata.HiveMetaStoreChecker_java,37,221
org.apache.hadoop.hive.ql.metadata.CheckResult_java,8,1688
org.apache.hadoop.hive.metastore.TestHiveMetaStore_java,99,49
org.apache.hadoop.hive.ql.security.authorization.HiveMultiPartitionAuthorizationProviderBase_java,0,0
org.apache.hadoop.hive.ql.security.authorization.AuthorizationPreEventListener_java,17,654
org.apache.hadoop.hive.ql.exec.DDLTask_java,464,4
org.apache.hive.hcatalog.mapreduce.HCatTableInfo_java,5,2390
org.apache.hive.hcatalog.mapreduce.StorerInfo_java,0,0
org.apache.hive.hcatalog.mapreduce.OutputJobInfo_java,7,1897
org.apache.hive.hcatalog.mapreduce.InternalUtil_java,8,1688
org.apache.hive.hcatalog.mapreduce.InputJobInfo_java,11,1145
org.apache.hive.hcatalog.common.HCatUtil_java,21,513
org.apache.hive.hcatalog.mapreduce.FileOutputFormatContainer_java,15,782
org.apache.hive.hcatalog.mapreduce.FileOutputCommitterContainer_java,25,408
org.apache.hadoop.hive.hbase.struct.DefaultHBaseValueFactory_java,8,1688
org.apache.hadoop.hive.hbase.HBaseStorageHandler_java,48,153
org.apache.hadoop.hive.metastore.TestRemoteHiveMetaStore_java,17,654
org.apache.hadoop.hive.ql.security.FolderPermissionBase_java,14,844
org.apache.hive.hcatalog.pig.PigHCatUtil_java,13,931
org.apache.hadoop.hive.metastore.AbstractTestAuthorizationApiAuthorizer_java,9,1468
org.apache.hive.hcatalog.api.HCatTable_java,9,1468
org.apache.hive.hcatalog.api.HCatPartition_java,9,1468
org.apache.hadoop.hive.ql.security.StorageBasedMetastoreTestBase_java,12,1040
org.apache.hive.hcatalog.streaming.DelimitedInputWriter_java,14,844
org.apache.hadoop.hive.ql.QTestUtil_java,296,10
org.apache.hive.jdbc.miniHS2.AbstractHiveService_java,5,2390
org.apache.hive.jdbc.miniHS2.MiniHS2_java,44,175
org.apache.hive.service.cli.thrift.ThriftCLIServiceTest_java,16,713
org.apache.hive.hcatalog.mapreduce.HCatMapReduceTest_java,15,782
org.apache.hadoop.hive.metastore.HiveMetaStoreFsImpl_java,14,844
org.apache.hadoop.hive.metastore.TestMarkPartitionRemote_java,10,1283
org.apache.hadoop.hive.metastore.TestMarkPartition_java,10,1283
org.apache.hive.hcatalog.mapreduce.TestSequenceFileReadWrite_java,11,1145
org.apache.hadoop.hive.serde2.TestSerdeWithFieldComments_java,0,0
org.apache.hadoop.hive.thrift.HadoopThriftAuthBridge23_java,0,0
org.apache.hadoop.hive.thrift.TestHadoopAuthBridge23_java,8,1688
org.apache.hive.hcatalog.cli.TestPermsGrp_java,24,428
org.apache.hive.hcatalog.cli.HCatDriver_java,7,1897
org.apache.hive.hcatalog.cli.HCatCli_java,10,1283
org.apache.hadoop.hive.ql.exec.TestExecDriver_java,62,101
org.apache.hadoop.hive.ql.exec.TestOperators_java,59,111
org.apache.hive.service.cli.thrift.ThriftCliServiceTestWithCookie_java,9,1468
org.apache.hive.hcatalog.mapreduce.TestPassProperties_java,11,1145
org.apache.hadoop.hive.ql.session.TestSessionState_java,14,844
org.apache.hive.hcatalog.cli.TestSemanticAnalysis_java,13,931
org.apache.hadoop.hive.metastore.TestMetaStoreListenersError_java,6,2117
org.apache.hadoop.hive.metastore.TestMetaStoreAuthorization_java,12,1040
org.apache.hadoop.hive.metastore.TestPartitionNameWhitelistValidation_java,0,0
org.apache.hadoop.hive.ql.hooks.EnforceReadOnlyTables_java,9,1468
org.apache.hadoop.hive.metastore.TestMetaStoreEventListener_java,37,221
org.apache.hadoop.hive.metastore.DummyPreListener_java,0,0
org.apache.hadoop.hive.metastore.HiveAlterHandler_java,101,44
org.apache.hadoop.hive.metastore.TestMetaStoreMetrics_java,20,546
org.apache.hadoop.hive.ql.history.TestHiveHistory_java,34,244
org.apache.hadoop.hive.metastore.DummyEndFunctionListener_java,0,0
org.apache.hadoop.hive.metastore.TestMetaStoreEndFunctionListener_java,14,844
org.apache.hadoop.hive.metastore.DummyRawStoreControlledCommit_java,96,53
org.apache.hadoop.hive.metastore.TestMetaStoreEventListenerOnlyOnCommit_java,11,1145
org.apache.hadoop.hive.ql.metadata.TestHiveRemote_java,9,1468
org.apache.hadoop.hive.serde2.ByteStreamTypedSerDe_java,0,0
org.apache.hadoop.hive.serde2.thrift.ThriftDeserializer_java,5,2390
org.apache.hadoop.hive.ql.metadata.TestHive_java,55,122
org.apache.hadoop.hive.serde2.thrift.ThriftByteStreamTypedSerDe_java,0,0
org.apache.hadoop.hive.serde2.TypedSerDe_java,0,0
org.apache.hadoop.hive.metastore.AlternateFailurePreListener_java,0,0
org.apache.hadoop.hive.metastore.TestRetryingHMSHandler_java,15,782
org.apache.hadoop.hive.hbase.HBaseQTestUtil_java,24,428
org.apache.hadoop.hive.hbase.HBaseTestSetup_java,20,546
org.apache.hadoop.hive.cli.TestCliSessionState_java,5,2390
