name,bugfreq,bugrank
org.apache.hadoop.hive.ql.CompilationOpContext_java,0,0
org.apache.hadoop.hive.ql.exec.Operator_java,145,24
org.apache.hadoop.hive.ql.plan.FetchWork_java,25,408
org.apache.hadoop.hive.ql.exec.ListSinkOperator_java,13,931
org.apache.hadoop.hive.ql.exec.DummyStoreOperator_java,10,1283
org.apache.hadoop.hive.ql.stats.StatsPublisher_java,5,2390
org.apache.hadoop.hive.ql.stats.StatsCollectionContext_java,5,2390
org.apache.hadoop.hive.ql.exec.Task_java,71,82
org.apache.hadoop.hive.ql.exec.TableScanOperator_java,67,90
org.apache.hadoop.hive.ql.exec.TerminalOperator_java,6,2117
org.apache.hadoop.hive.ql.exec.ReduceSinkOperator_java,75,76
org.apache.hadoop.hive.ql.exec.SelectOperator_java,45,170
org.apache.hadoop.hive.ql.plan.SelectDesc_java,17,654
org.apache.hadoop.hive.ql.exec.HashTableDummyOperator_java,11,1145
org.apache.hadoop.hive.ql.plan.HashTableDummyDesc_java,0,0
org.apache.hadoop.hive.ql.plan.MapWork_java,69,85
org.apache.hadoop.hive.ql.exec.MapOperator_java,93,56
org.apache.hadoop.hive.ql.exec.JoinUtil_java,24,428
org.apache.hadoop.hive.ql.exec.CommonJoinOperator_java,73,80
org.apache.hadoop.hive.ql.exec.SkewJoinHandler_java,18,612
org.apache.hadoop.hive.ql.plan.MapredWork_java,43,180
org.apache.hadoop.hive.ql.plan.ReduceWork_java,34,244
org.apache.hadoop.hive.ql.exec.JoinOperator_java,64,95
org.apache.hadoop.hive.ql.exec.mr.ExecMapper_java,25,408
org.apache.hadoop.hive.ql.udf.generic.GenericUDFLeadLag_java,10,1283
org.apache.hadoop.hive.ql.io.orc.OrcInputFormat_java,161,20
org.apache.hadoop.hive.ql.exec.vector.VectorMapOperator_java,33,255
org.apache.hadoop.hive.ql.exec.PTFOperator_java,23,458
org.apache.hadoop.hive.ql.Context_java,93,56
org.apache.hadoop.hive.ql.lockmgr.HiveLockManager_java,10,1283
org.apache.hadoop.hive.ql.exec.SerializationUtilities_java,23,458
org.apache.hadoop.hive.ql.exec.FunctionTask_java,41,196
org.apache.hadoop.hive.ql.metadata.Hive_java,415,5
org.apache.hadoop.hive.ql.exec.FetchTask_java,55,122
org.apache.hadoop.hive.ql.exec.ExplainTask_java,97,52
org.apache.hadoop.hive.ql.parse.BaseSemanticAnalyzer_java,167,19
org.apache.hadoop.hive.ql.stats.StatsAggregator_java,8,1688
org.apache.hadoop.hive.ql.exec.FileSinkOperator_java,179,18
org.apache.hadoop.hive.ql.exec.StatsTask_java,60,106
org.apache.hadoop.hive.ql.stats.StatsFactory_java,13,931
org.apache.hadoop.hive.ql.exec.HashTableSinkOperator_java,48,153
org.apache.hadoop.hive.ql.exec.TemporaryHashSinkOperator_java,0,0
org.apache.hadoop.hive.ql.exec.mr.MapredLocalTask_java,62,101
org.apache.hadoop.hive.ql.exec.SecureCmdDoAs_java,9,1468
org.apache.hadoop.hive.ql.exec.mr.HashTableLoader_java,14,844
org.apache.hadoop.hive.ql.exec.spark.HashTableLoader_java,29,331
org.apache.hadoop.hive.ql.exec.AbstractMapJoinOperator_java,33,255
org.apache.hadoop.hive.ql.exec.MapJoinOperator_java,136,29
org.apache.hadoop.hive.ql.io.orc.OrcFileStripeMergeRecordReader_java,9,1468
org.apache.hadoop.hive.ql.io.merge.MergeFileTask_java,15,782
org.apache.hadoop.hive.ql.io.orc.OrcFileStripeMergeInputFormat_java,0,0
org.apache.hadoop.hive.ql.io.merge.MergeFileWork_java,6,2117
org.apache.hadoop.hive.ql.plan.ColumnStatsWork_java,6,2117
org.apache.hadoop.hive.ql.io.rcfile.stats.PartialScanWork_java,8,1688
org.apache.hadoop.hive.ql.io.rcfile.stats.PartialScanTask_java,31,293
org.apache.hadoop.hive.ql.exec.TezDummyStoreOperator_java,8,1688
org.apache.hadoop.hive.ql.exec.CommonMergeJoinOperator_java,29,331
org.apache.hadoop.hive.ql.plan.MergeJoinWork_java,16,713
org.apache.hadoop.hive.ql.plan.UnionWork_java,5,2390
org.apache.hadoop.hive.ql.plan.UnionDesc_java,5,2390
org.apache.hadoop.hive.ql.exec.UnionOperator_java,28,355
org.apache.hadoop.hive.ql.plan.SMBJoinDesc_java,6,2117
org.apache.hadoop.hive.ql.exec.SMBMapJoinOperator_java,60,106
org.apache.hadoop.hive.ql.plan.FilterDesc_java,22,487
org.apache.hadoop.hive.ql.exec.FilterOperator_java,39,208
org.apache.hadoop.hive.ql.plan.FileMergeDesc_java,6,2117
org.apache.hadoop.hive.ql.exec.AbstractFileMergeOperator_java,19,573
org.apache.hadoop.hive.ql.exec.spark.SparkMapRecordHandler_java,30,311
org.apache.hadoop.hive.ql.exec.spark.SparkTask_java,68,87
org.apache.hadoop.hive.ql.exec.ScriptOperator_java,55,122
org.apache.hadoop.hive.ql.exec.PartitionKeySampler_java,8,1688
org.apache.hadoop.hive.ql.exec.mr.ExecDriver_java,82,67
org.apache.hadoop.hive.ql.exec.GroupByOperator_java,99,49
org.apache.hadoop.hive.ql.exec.LimitOperator_java,23,458
org.apache.hadoop.hive.ql.exec.vector.VectorGroupByOperator_java,61,103
org.apache.hadoop.hive.ql.exec.vector.VectorFilterOperator_java,23,458
org.apache.hadoop.hive.ql.exec.vector.VectorLimitOperator_java,9,1468
org.apache.hadoop.hive.ql.exec.vector.VectorMapJoinBaseOperator_java,11,1145
org.apache.hadoop.hive.ql.exec.vector.VectorMapJoinOperator_java,38,217
org.apache.hadoop.hive.ql.exec.AppMasterEventOperator_java,14,844
org.apache.hadoop.hive.ql.exec.vector.VectorAppMasterEventOperator_java,13,931
org.apache.hadoop.hive.ql.exec.vector.VectorReduceSinkOperator_java,24,428
org.apache.hadoop.hive.ql.exec.vector.VectorSelectOperator_java,30,311
org.apache.hadoop.hive.ql.exec.vector.VectorSparkPartitionPruningSinkOperator_java,6,2117
org.apache.hadoop.hive.ql.optimizer.spark.SparkPartitionPruningSinkDesc_java,8,1688
org.apache.hadoop.hive.ql.parse.spark.SparkPartitionPruningSinkOperator_java,10,1283
org.apache.hadoop.hive.ql.exec.vector.VectorFileSinkOperator_java,20,546
org.apache.hadoop.hive.ql.plan.SparkHashTableSinkDesc_java,9,1468
org.apache.hadoop.hive.ql.exec.vector.VectorSparkHashTableSinkOperator_java,6,2117
org.apache.hadoop.hive.ql.exec.SparkHashTableSinkOperator_java,22,487
org.apache.hadoop.hive.ql.exec.vector.VectorSMBMapJoinOperator_java,28,355
org.apache.hadoop.hive.ql.exec.OperatorFactory_java,58,115
org.apache.hadoop.hive.ql.exec.ColumnStatsUpdateTask_java,22,487
org.apache.hadoop.hive.ql.exec.MuxOperator_java,14,844
org.apache.hadoop.hive.ql.exec.DemuxOperator_java,19,573
org.apache.hadoop.hive.ql.exec.LateralViewJoinOperator_java,14,844
org.apache.hadoop.hive.ql.optimizer.GenMapRedUtils_java,182,16
org.apache.hadoop.hive.ql.exec.LateralViewForwardOperator_java,9,1468
org.apache.hadoop.hive.ql.exec.ForwardOperator_java,18,612
org.apache.hadoop.hive.ql.exec.UDTFOperator_java,22,487
org.apache.hadoop.hive.ql.udf.generic.UDTFCollector_java,5,2390
org.apache.hadoop.hive.ql.parse.TaskCompiler_java,68,87
org.apache.hadoop.hive.ql.exec.ColumnStatsTask_java,29,331
org.apache.hadoop.hive.ql.exec.vector.mapjoin.VectorMapJoinCommonOperator_java,31,293
org.apache.hadoop.hive.ql.exec.vector.mapjoin.VectorMapJoinGenerateResultOperator_java,27,376
org.apache.hadoop.hive.ql.exec.vector.reducesink.VectorReduceSinkCommonOperator_java,20,546
org.apache.hadoop.hive.ql.exec.vector.mapjoin.VectorMapJoinOuterGenerateResultOperator_java,11,1145
org.apache.hadoop.hive.ql.exec.vector.mapjoin.VectorMapJoinInnerGenerateResultOperator_java,8,1688
org.apache.hadoop.hive.ql.exec.vector.mapjoin.VectorMapJoinLeftSemiGenerateResultOperator_java,7,1897
org.apache.hadoop.hive.ql.exec.vector.mapjoin.VectorMapJoinInnerBigOnlyGenerateResultOperator_java,7,1897
org.apache.hadoop.hive.ql.exec.vector.VectorMapJoinOuterFilteredOperator_java,9,1468
org.apache.hadoop.hive.ql.exec.vector.mapjoin.VectorMapJoinOuterMultiKeyOperator_java,16,713
org.apache.hadoop.hive.ql.exec.vector.mapjoin.VectorMapJoinInnerBigOnlyMultiKeyOperator_java,17,654
org.apache.hadoop.hive.ql.exec.vector.keyseries.VectorKeySeriesLongSerialized_java,0,0
org.apache.hadoop.hive.ql.exec.vector.reducesink.VectorReduceSinkLongOperator_java,9,1468
org.apache.hadoop.hive.ql.exec.vector.mapjoin.VectorMapJoinInnerMultiKeyOperator_java,17,654
org.apache.hadoop.hive.ql.exec.vector.mapjoin.VectorMapJoinInnerLongOperator_java,16,713
org.apache.hadoop.hive.ql.exec.vector.mapjoin.VectorMapJoinInnerStringOperator_java,17,654
org.apache.hadoop.hive.ql.exec.vector.mapjoin.VectorMapJoinLeftSemiStringOperator_java,17,654
org.apache.hadoop.hive.ql.exec.vector.mapjoin.VectorMapJoinLeftSemiLongOperator_java,16,713
org.apache.hadoop.hive.ql.exec.vector.reducesink.VectorReduceSinkStringOperator_java,9,1468
org.apache.hadoop.hive.ql.exec.vector.keyseries.VectorKeySeriesBytesSerialized_java,0,0
org.apache.hadoop.hive.ql.exec.vector.mapjoin.VectorMapJoinOuterStringOperator_java,16,713
org.apache.hadoop.hive.ql.exec.vector.mapjoin.VectorMapJoinOuterLongOperator_java,15,782
org.apache.hadoop.hive.ql.exec.vector.mapjoin.VectorMapJoinInnerBigOnlyLongOperator_java,16,713
org.apache.hadoop.hive.ql.exec.vector.mapjoin.VectorMapJoinInnerBigOnlyStringOperator_java,17,654
org.apache.hadoop.hive.ql.exec.vector.mapjoin.VectorMapJoinLeftSemiMultiKeyOperator_java,17,654
org.apache.hadoop.hive.ql.exec.vector.reducesink.VectorReduceSinkMultiKeyOperator_java,9,1468
org.apache.hadoop.hive.ql.exec.vector.keyseries.VectorKeySeriesMultiSerialized_java,0,0
org.apache.hadoop.hive.ql.optimizer.OperatorComparatorFactory_java,7,1897
org.apache.hadoop.hive.ql.optimizer.spark.CombineEquivalentWorkResolver_java,11,1145
org.apache.hadoop.hive.ql.exec.CollectOperator_java,18,612
org.apache.hadoop.hive.ql.optimizer.correlation.CorrelationOptimizer_java,14,844
org.apache.hadoop.hive.ql.optimizer.correlation.QueryPlanTreeTransformation_java,9,1468
org.apache.hadoop.hive.ql.parse.SemanticAnalyzer_java,896,2
org.apache.hadoop.hive.ql.testutil.OperatorTestUtils_java,5,2390
org.apache.hadoop.hive.ql.testutil.BaseScalarUdfTest_java,0,0
org.apache.hadoop.hive.ql.exec.tez.MapRecordProcessor_java,54,130
org.apache.hadoop.hive.ql.io.rcfile.truncate.ColumnTruncateTask_java,23,458
org.apache.hadoop.hive.ql.exec.DDLTask_java,464,4
org.apache.hadoop.hive.ql.exec.TestExecDriver_java,62,101
org.apache.hadoop.hive.ql.exec.TestOperators_java,59,111
org.apache.hadoop.hive.ql.exec.TestFileSinkOperator_java,20,546
org.apache.hadoop.hive.ql.exec.OrcFileMergeOperator_java,17,654
org.apache.hadoop.hive.ql.exec.vector.util.FakeVectorDataSourceOperator_java,6,2117
org.apache.hadoop.hive.ql.exec.vector.util.FakeVectorDataSourceOperatorDesc_java,0,0
org.apache.hadoop.hive.ql.exec.vector.TestVectorFilterOperator_java,17,654
org.apache.hadoop.hive.ql.parse.TestGenTezWork_java,8,1688
org.apache.hadoop.hive.ql.exec.vector.util.FakeCaptureOutputDesc_java,0,0
org.apache.hadoop.hive.ql.exec.vector.util.FakeCaptureOutputOperator_java,7,1897
org.apache.hadoop.hive.ql.exec.vector.TestVectorGroupByOperator_java,41,196
org.apache.hadoop.hive.ql.exec.TestPlan_java,19,573
org.apache.hive.hcatalog.mapreduce.TestHCatMultiOutputFormat_java,17,654
org.apache.hadoop.hive.ql.optimizer.physical.TestVectorizer_java,25,408
org.apache.hadoop.hive.ql.exec.vector.TestVectorSelectOperator_java,20,546
org.apache.hadoop.hive.ql.exec.vector.TestVectorLimitOperator_java,5,2390
org.apache.hadoop.hive.ql.exec.RCFileMergeOperator_java,6,2117
org.apache.hadoop.hive.ql.exec.StatsNoJobTask_java,26,389
