name,bugfreq,bugrank
org.apache.hadoop.hive.ql.metadata.Partition_java,67,90
org.apache.hadoop.hive.ql.security.authorization.HiveAuthorizationProvider_java,0,0
org.apache.hadoop.hive.ql.plan.PartitionDesc_java,45,170
org.apache.hadoop.hive.ql.plan.VectorPartitionDesc_java,9,1468
org.apache.hadoop.hive.ql.optimizer.listbucketingpruner.ListBucketingPrunerUtils_java,7,1897
org.apache.hadoop.hive.ql.exec.ExprNodeEvaluatorFactory_java,20,546
org.apache.hadoop.hive.ql.hooks.Entity_java,16,713
org.apache.hadoop.hive.ql.metadata.DummyPartition_java,0,0
org.apache.hadoop.hive.ql.hooks.WriteEntity_java,31,293
org.apache.hadoop.hive.ql.plan.AlterTableDesc_java,47,159
org.apache.hadoop.hive.ql.hooks.ReadEntity_java,23,458
org.apache.hadoop.hive.ql.security.authorization.BitSetCheckedAuthorizationProvider_java,0,0
org.apache.hadoop.hive.ql.security.authorization.DefaultHiveAuthorizationProvider_java,5,2390
org.apache.hadoop.hive.ql.security.authorization.HiveAuthorizationProviderBase_java,11,1145
org.apache.hadoop.hive.ql.index.HiveIndexHandler_java,8,1688
org.apache.hadoop.hive.ql.index.HiveIndexQueryContext_java,0,0
org.apache.hadoop.hive.ql.QueryPlan_java,39,208
org.apache.hadoop.hive.ql.stats.StatsUtils_java,86,63
org.apache.hadoop.hive.ql.parse.PrunedPartitionList_java,11,1145
org.apache.hadoop.hive.ql.lockmgr.HiveLockObject_java,24,428
org.apache.hadoop.hive.ql.parse.ReplicationSpec_java,18,612
org.apache.hadoop.hive.ql.plan.DropTableDesc_java,22,487
org.apache.hadoop.hive.ql.metadata.Hive_java,415,5
org.apache.hadoop.hive.ql.exec.FetchTask_java,55,122
org.apache.hadoop.hive.ql.exec.ExplainTask_java,97,52
org.apache.hadoop.hive.ql.parse.BaseSemanticAnalyzer_java,167,19
org.apache.hadoop.hive.ql.stats.StatsAggregator_java,8,1688
org.apache.hadoop.hive.ql.exec.FileSinkOperator_java,179,18
org.apache.hadoop.hive.ql.exec.StatsTask_java,60,106
org.apache.hadoop.hive.ql.stats.StatsFactory_java,13,931
org.apache.hadoop.hive.ql.plan.PlanUtils_java,100,46
org.apache.hadoop.hive.ql.lockmgr.HiveTxnManagerImpl_java,11,1145
org.apache.hadoop.hive.ql.plan.ShowLocksDesc_java,9,1468
org.apache.hadoop.hive.ql.lockmgr.DbTxnManager_java,74,78
