name,bugfreq,bugrank
org.apache.hadoop.hive.shims.ShimLoader_java,30,311
org.apache.hadoop.hive.shims.HadoopShims_java,115,35
org.apache.hadoop.hive.thrift.HadoopThriftAuthBridge_java,28,355
org.apache.hive.hcatalog.templeton.tool.TempletonUtils_java,23,458
org.apache.hadoop.hive.accumulo.HiveAccumuloHelper_java,0,0
org.apache.hadoop.hive.ql.exec.errors.TaskLogProcessor_java,9,1468
org.apache.hadoop.fs.DefaultFileAccess_java,7,1897
org.apache.hadoop.hive.common.FileUtils_java,84,65
org.apache.hadoop.hive.metastore.txn.TxnHandler_java,143,27
org.apache.hadoop.hive.metastore.txn.TxnDbUtil_java,36,233
org.apache.hadoop.hive.serde2.io.HiveCharWritable_java,0,0
org.apache.hadoop.hive.metastore.Warehouse_java,81,71
org.apache.hadoop.hive.metastore.MetaStoreUtils_java,146,23
org.apache.hadoop.hive.metastore.HiveMetaStore_java,471,3
org.apache.hadoop.hive.metastore.HiveMetaStoreClient_java,247,12
org.apache.hadoop.hive.metastore.ObjectStore_java,347,8
org.apache.hadoop.hive.ql.io.AcidUtils_java,90,60
org.apache.hadoop.hive.ql.security.HadoopDefaultAuthenticator_java,10,1283
org.apache.hadoop.hive.ql.io.RCFileRecordReader_java,10,1283
org.apache.hadoop.hive.ql.io.RCFile_java,46,164
org.apache.hadoop.hive.ql.io.orc.TreeReaderFactory_java,18,612
org.apache.hadoop.hive.ql.io.orc.RecordReaderUtils_java,18,612
org.apache.hadoop.hive.ql.io.CombineHiveInputFormat_java,80,72
org.apache.hadoop.hive.ql.io.SymlinkTextInputFormat_java,8,1688
org.apache.hadoop.hive.ql.exec.mr.ExecMapper_java,25,408
org.apache.hadoop.hive.ql.udf.generic.GenericUDFLeadLag_java,10,1283
org.apache.hadoop.hive.ql.io.orc.OrcInputFormat_java,161,20
org.apache.hadoop.hive.ql.exec.vector.VectorMapOperator_java,33,255
org.apache.hadoop.hive.ql.exec.mr.JobDebugger_java,0,0
org.apache.hadoop.hive.ql.exec.mr.JobTrackerURLResolver_java,0,0
org.apache.hadoop.hive.ql.exec.mr.HadoopJobExecHelper_java,32,275
org.apache.hadoop.hive.ql.Context_java,93,56
org.apache.hadoop.hive.ql.lockmgr.HiveLockManager_java,10,1283
org.apache.hadoop.hive.ql.exec.mr.MapRedTask_java,33,255
org.apache.hadoop.hive.ql.metadata.Hive_java,415,5
org.apache.hadoop.hive.ql.exec.FetchTask_java,55,122
org.apache.hadoop.hive.ql.stats.StatsAggregator_java,8,1688
org.apache.hadoop.hive.ql.exec.FileSinkOperator_java,179,18
org.apache.hadoop.hive.ql.exec.StatsTask_java,60,106
org.apache.hadoop.hive.ql.stats.StatsFactory_java,13,931
org.apache.hadoop.hive.ql.exec.HashTableLoader_java,9,1468
org.apache.hadoop.hive.ql.exec.persistence.MapJoinTableContainerSerDe_java,24,428
org.apache.hadoop.hive.ql.exec.mr.MapredLocalTask_java,62,101
org.apache.hadoop.hive.ql.exec.SecureCmdDoAs_java,9,1468
org.apache.hadoop.hive.ql.exec.mr.HashTableLoader_java,14,844
org.apache.hadoop.hive.ql.io.orc.OrcFileStripeMergeRecordReader_java,9,1468
org.apache.hadoop.hive.ql.io.merge.MergeFileTask_java,15,782
org.apache.hadoop.hive.ql.io.orc.OrcFileStripeMergeInputFormat_java,0,0
org.apache.hadoop.hive.ql.io.merge.MergeFileWork_java,6,2117
org.apache.hadoop.hive.ql.session.SessionState_java,201,14
org.apache.hadoop.hive.ql.exec.mr.ExecDriver_java,82,67
org.apache.hadoop.hive.ql.exec.Utilities_java,381,6
org.apache.hadoop.hive.ql.exec.MoveTask_java,145,24
org.apache.hadoop.hive.ql.parse.MapReduceCompiler_java,21,513
org.apache.hadoop.hive.ql.optimizer.BucketingSortingReduceSinkOptimizer_java,29,331
org.apache.hadoop.hive.ql.udf.UDAFPercentile_java,10,1283
org.apache.hadoop.hive.ql.txn.compactor.CompactorMR_java,60,106
org.apache.hadoop.hive.ql.io.parquet.MapredParquetOutputFormat_java,17,654
org.apache.hadoop.hive.accumulo.mr.HiveAccumuloTableInputFormat_java,0,0
org.apache.hadoop.hive.ql.exec.DDLTask_java,464,4
org.apache.hive.hcatalog.common.HiveClientCache_java,17,654
org.apache.hive.hcatalog.mapreduce.HCatMapRedUtil_java,0,0
org.apache.hive.hcatalog.mapreduce.Security_java,8,1688
org.apache.hive.hcatalog.mapreduce.FileOutputCommitterContainer_java,25,408
org.apache.hadoop.hive.hbase.HiveHFileOutputFormat_java,17,654
org.apache.hadoop.hive.hbase.HiveHBaseTableInputFormat_java,38,217
org.apache.hadoop.hive.hbase.struct.DefaultHBaseValueFactory_java,8,1688
org.apache.hadoop.hive.hbase.HBaseStorageHandler_java,48,153
org.apache.hadoop.hive.metastore.TestRemoteHiveMetaStore_java,17,654
org.apache.hadoop.hive.ql.security.FolderPermissionBase_java,14,844
org.apache.hive.hcatalog.templeton.LauncherDelegator_java,17,654
org.apache.hive.hcatalog.templeton.ListDelegator_java,9,1468
org.apache.hive.hcatalog.templeton.StatusDelegator_java,9,1468
org.apache.hive.hcatalog.templeton.DeleteDelegator_java,8,1688
org.apache.hive.hcatalog.templeton.Server_java,34,244
org.apache.hadoop.hive.ql.io.HdfsUtils_java,11,1145
org.apache.hadoop.hive.metastore.AbstractTestAuthorizationApiAuthorizer_java,9,1468
