name,bugfreq,bugrank
org.apache.hadoop.hive.serde2.io.DoubleWritable_java,6,2117
org.apache.hadoop.hive.serde2.objectinspector.primitive.PrimitiveObjectInspectorUtils_java,52,137
org.apache.hadoop.hive.serde2.binarysortable.BinarySortableSerDe_java,40,205
org.apache.hadoop.hive.serde2.lazy.LazyDouble_java,9,1468
org.apache.hadoop.hive.serde2.lazy.objectinspector.primitive.LazyDoubleObjectInspector_java,0,0
org.apache.hadoop.hive.serde2.objectinspector.primitive.WritableDoubleObjectInspector_java,7,1897
org.apache.hadoop.hive.serde2.lazybinary.LazyBinaryDouble_java,0,0
org.apache.hadoop.hive.serde2.objectinspector.primitive.JavaDoubleObjectInspector_java,5,2390
org.apache.hadoop.hive.serde2.objectinspector.primitive.WritableConstantDoubleObjectInspector_java,0,0
org.apache.hadoop.hive.serde2.objectinspector.primitive.PrimitiveObjectInspectorFactory_java,29,331
org.apache.hadoop.hive.contrib.util.typedbytes.TypedBytesWritableInput_java,7,1897
org.apache.hadoop.hive.contrib.util.typedbytes.TypedBytesWritableOutput_java,9,1468
org.apache.hadoop.hive.ql.udf.generic.NGramEstimator_java,6,2117
org.apache.hadoop.hive.ql.udf.generic.NumericHistogram_java,9,1468
org.apache.hadoop.hive.ql.udf.generic.GenericUDF_java,31,293
org.apache.hadoop.hive.ql.exec.vector.VectorizedBatchUtil_java,39,208
org.apache.hadoop.hive.ql.io.orc.TreeReaderFactory_java,18,612
org.apache.hadoop.hive.ql.exec.vector.VectorAssignRowSameBatch_java,0,0
org.apache.hadoop.hive.ql.exec.vector.VectorAssignRow_java,16,713
org.apache.hadoop.hive.ql.udf.generic.GenericUDFBaseUnary_java,0,0
org.apache.hadoop.hive.ql.udf.UDFToLong_java,22,487
org.apache.hadoop.hive.ql.udf.UDFToInteger_java,28,355
org.apache.hadoop.hive.ql.udf.UDFToByte_java,24,428
org.apache.hadoop.hive.ql.udf.generic.GenericUDFRound_java,9,1468
org.apache.hadoop.hive.ql.udf.UDFToDouble_java,19,573
org.apache.hadoop.hive.ql.udf.UDFToFloat_java,21,513
org.apache.hadoop.hive.ql.udf.generic.GenericUDAFStreamingEvaluator_java,8,1688
org.apache.hadoop.hive.ql.udf.generic.GenericUDAFAverage_java,32,275
org.apache.hadoop.hive.ql.exec.vector.expressions.aggregates.VectorUDAFAvgDecimal_java,14,844
org.apache.hadoop.hive.ql.udf.UDFToBoolean_java,27,376
org.apache.hadoop.hive.ql.exec.vector.expressions.CastDecimalToBoolean_java,6,2117
org.apache.hadoop.hive.ql.udf.UDFSign_java,8,1688
org.apache.hadoop.hive.ql.udf.UDFToString_java,19,573
org.apache.hadoop.hive.ql.udf.generic.GenericUDFOPNegative_java,5,2390
org.apache.hadoop.hive.ql.udf.UDFToShort_java,25,408
org.apache.hadoop.hive.ql.exec.vector.VectorizationContext_java,182,16
org.apache.hadoop.hive.ql.exec.NoMatchingMethodException_java,0,0
org.apache.hadoop.hive.ql.udf.generic.GenericUDFBaseNumeric_java,13,931
org.apache.hadoop.hive.ql.optimizer.calcite.translator.RexNodeConverter_java,42,185
org.apache.hadoop.hive.ql.udf.UDFMath_java,0,0
org.apache.hadoop.hive.ql.udf.UDFRand_java,11,1145
org.apache.hadoop.hive.ql.udf.UDFSecond_java,14,844
org.apache.hadoop.hive.ql.udf.UDFLog2_java,10,1283
org.apache.hadoop.hive.ql.udf.UDFTan_java,5,2390
org.apache.hadoop.hive.ql.udf.UDFDegrees_java,6,2117
org.apache.hadoop.hive.ql.udf.UDFAtan_java,5,2390
org.apache.hadoop.hive.ql.udf.UDFLog10_java,11,1145
org.apache.hadoop.hive.ql.udf.UDFSqrt_java,10,1283
org.apache.hadoop.hive.ql.udf.UDFSin_java,9,1468
org.apache.hadoop.hive.ql.udf.UDFAsin_java,10,1283
org.apache.hadoop.hive.ql.udf.UDFRadians_java,6,2117
org.apache.hadoop.hive.ql.udf.UDFCos_java,9,1468
org.apache.hadoop.hive.ql.udf.UDFLn_java,10,1283
org.apache.hadoop.hive.ql.udf.UDFAcos_java,10,1283
org.apache.hadoop.hive.ql.udf.UDFExp_java,10,1283
org.apache.hadoop.hive.ql.udf.UDFLog_java,14,844
org.apache.hadoop.hive.ql.udf.generic.GenericUDAFSum_java,31,293
org.apache.hadoop.hive.ql.udf.generic.GenericUDAFVariance_java,17,654
org.apache.hadoop.hive.ql.udf.generic.GenericUDAFPercentRank_java,6,2117
org.apache.hadoop.hive.ql.udf.generic.GenericUDAFCumeDist_java,7,1897
org.apache.hadoop.hive.ql.udf.generic.GenericUDAFPercentileApprox_java,14,844
org.apache.hadoop.hive.ql.udf.generic.GenericUDAFHistogramNumeric_java,12,1040
org.apache.hadoop.hive.ql.udf.generic.GenericUDAFCovarianceSample_java,7,1897
org.apache.hadoop.hive.ql.udf.generic.GenericUDAFCovariance_java,7,1897
org.apache.hadoop.hive.ql.udf.generic.GenericUDAFComputeStats_java,29,331
org.apache.hadoop.hive.ql.udf.generic.StringNumDistinctValueEstimator_java,0,0
org.apache.hadoop.hive.ql.udf.generic.GenericUDAFCorrelation_java,10,1283
org.apache.hadoop.hive.ql.udf.UDFRegExpReplace_java,8,1688
org.apache.hadoop.hive.ql.udf.xml.UDFXPathInteger_java,0,0
org.apache.hadoop.hive.ql.udf.xml.UDFXPathDouble_java,0,0
org.apache.hadoop.hive.ql.udf.UDFParseUrl_java,6,2117
org.apache.hadoop.hive.ql.udf.UDFFindInSet_java,5,2390
org.apache.hadoop.hive.ql.udf.UDFJson_java,21,513
org.apache.hadoop.hive.ql.udf.UDFOPLongDivide_java,6,2117
org.apache.hadoop.hive.ql.udf.UDFUnhex_java,6,2117
org.apache.hadoop.hive.ql.udf.UDFE_java,0,0
org.apache.hadoop.hive.ql.udf.UDFUnbase64_java,0,0
org.apache.hadoop.hive.ql.udf.xml.UDFXPathLong_java,0,0
org.apache.hadoop.hive.ql.udf.UDFSha1_java,0,0
org.apache.hadoop.hive.ql.udf.xml.UDFXPathBoolean_java,0,0
org.apache.hadoop.hive.ql.udf.UDFRepeat_java,6,2117
org.apache.hadoop.hive.ql.udf.xml.UDFXPathString_java,0,0
org.apache.hadoop.hive.ql.udf.UDFSpace_java,6,2117
org.apache.hadoop.hive.ql.udf.xml.UDFXPathFloat_java,0,0
org.apache.hadoop.hive.ql.udf.UDFBase64_java,0,0
org.apache.hadoop.hive.ql.udf.UDFFromUnixTime_java,13,931
org.apache.hadoop.hive.ql.udf.UDFPI_java,0,0
org.apache.hadoop.hive.ql.udf.UDFRegExpExtract_java,7,1897
org.apache.hadoop.hive.ql.udf.UDFMd5_java,0,0
org.apache.hadoop.hive.ql.udf.UDFCrc32_java,0,0
org.apache.hadoop.hive.ql.udf.xml.UDFXPathShort_java,0,0
org.apache.hadoop.hive.ql.udf.UDFAscii_java,6,2117
org.apache.hadoop.hive.ql.udf.UDAFPercentile_java,10,1283
org.apache.hadoop.hive.ql.io.orc.FileDump_java,30,311
org.apache.hadoop.hive.ql.io.orc.JsonFileDump_java,7,1897
org.apache.hadoop.hive.ql.udaf.TestStreamingSum_java,6,2117
org.apache.hadoop.hive.ql.udf.generic.GenericUDFFloorCeilBase_java,0,0
org.apache.hadoop.hive.ql.io.parquet.convert.ETypeConverter_java,29,331
org.apache.hadoop.hive.ql.io.parquet.convert.HiveCollectionConverter_java,11,1145
org.apache.hadoop.hive.ql.exec.vector.VectorColumnAssignFactory_java,22,487
org.apache.hadoop.hive.ql.exec.vector.VectorColumnAssign_java,0,0
org.apache.hadoop.hive.accumulo.predicate.PushdownTuple_java,0,0
org.apache.hadoop.hive.ql.udf.generic.GenericUDFOPMultiply_java,5,2390
org.apache.hadoop.hive.ql.udf.generic.GenericUDFOPMod_java,9,1468
org.apache.hadoop.hive.ql.udf.generic.GenericUDFAbs_java,9,1468
org.apache.hadoop.hive.ql.udf.generic.GenericUDFBRound_java,0,0
org.apache.hadoop.hive.ql.udf.generic.GenericUDFOPNumericMinus_java,0,0
org.apache.hadoop.hive.ql.udf.generic.GenericUDFPower_java,0,0
org.apache.hadoop.hive.ql.exec.vector.expressions.FuncPowerLongToDouble_java,5,2390
org.apache.hadoop.hive.hbase.HiveHBaseTableInputFormat_java,38,217
org.apache.hadoop.hive.ql.udf.generic.GenericUDFOPNumericPlus_java,0,0
org.apache.hadoop.hive.udf.example.GenericUDFExampleAdd_java,0,0
org.apache.hadoop.hive.ql.io.orc.TestOrcFile_java,57,118
org.apache.hadoop.hive.hbase.avro.Employee_java,0,0
org.apache.hadoop.hive.hbase.TestHBaseSerDe_java,18,612
org.apache.hadoop.hive.ql.udf.generic.TestGenericUDFOPNegative_java,0,0
org.apache.hadoop.hive.hbase.TestLazyHBaseObject_java,12,1040
org.apache.hadoop.hive.ql.exec.vector.expressions.TestVectorExpressionWriters_java,14,844
org.apache.hadoop.hive.ql.udf.generic.GenericUDFReflect2_java,9,1468
org.apache.hadoop.hive.ql.udf.generic.TestGenericUDFCbrt_java,0,0
org.apache.hadoop.hive.ql.udf.generic.GenericUDFCbrt_java,0,0
org.apache.hadoop.hive.ql.udf.generic.TestGenericUDFPosMod_java,5,2390
org.apache.hadoop.hive.ql.udf.generic.GenericUDFPosMod_java,0,0
org.apache.hive.benchmark.storage.ColumnarStorageBench_java,13,931
org.apache.hadoop.hive.ql.exec.persistence.TestPTFRowContainer_java,6,2117
org.apache.hadoop.hive.ql.exec.TestFunctionRegistry_java,24,428
org.apache.hadoop.hive.ql.io.parquet.TestParquetSerDe_java,9,1468
org.apache.hadoop.hive.ql.exec.vector.TestVectorSerDeRow_java,17,654
org.apache.hadoop.hive.ql.udf.generic.TestGenericUDFOPPlus_java,10,1283
org.apache.hadoop.hive.ql.udf.generic.TestGenericUDFPower_java,0,0
org.apache.hadoop.hive.ql.udf.generic.TestGenericUDFOPMultiply_java,7,1897
org.apache.hadoop.hive.ql.udaf.TestStreamingAvg_java,0,0
org.apache.hadoop.hive.ql.udf.generic.GenericUDFLeast_java,0,0
org.apache.hadoop.hive.ql.udf.generic.TestGenericUDFLeast_java,6,2117
org.apache.hadoop.hive.serde2.lazy.TestLazySimpleSerDe_java,13,931
org.apache.hadoop.hive.ql.udf.generic.TestGenericUDFAbs_java,0,0
org.apache.hadoop.hive.serde2.lazy.TestLazyArrayMapStruct_java,13,931
org.apache.hadoop.hive.serde2.lazy.TestLazyPrimitive_java,18,612
org.apache.hadoop.hive.ql.udf.generic.TestGenericUDFCeil_java,0,0
org.apache.hadoop.hive.ql.udf.generic.GenericUDFCeil_java,0,0
org.apache.hadoop.hive.contrib.udaf.example.UDAFExampleMin_java,0,0
org.apache.hadoop.hive.contrib.udaf.example.UDAFExampleMax_java,0,0
org.apache.hadoop.hive.ql.udf.UDAFTestMax_java,9,1468
org.apache.hadoop.hive.ql.io.TestRCFile_java,29,331
org.apache.hadoop.hive.ql.io.orc.TestVectorOrcFile_java,8,1688
org.apache.hadoop.hive.serde2.objectinspector.TestObjectInspectorConverters_java,15,782
org.apache.hadoop.hive.ql.udf.TestUDFMath_java,6,2117
org.apache.hadoop.hive.ql.udf.generic.GenericUDFOPDivide_java,7,1897
org.apache.hadoop.hive.ql.udf.generic.TestGenericUDFOPDivide_java,11,1145
org.apache.hadoop.hive.ql.io.parquet.TestArrayCompatibility_java,10,1283
org.apache.hadoop.hive.ql.io.parquet.TestMapStructures_java,10,1283
org.apache.hadoop.hive.ql.udf.generic.TestGenericUDFOPMinus_java,10,1283
org.apache.hadoop.hive.ql.udf.generic.TestGenericUDFGreatest_java,6,2117
org.apache.hadoop.hive.serde2.objectinspector.primitive.JavaConstantDoubleObjectInspector_java,0,0
org.apache.hadoop.hive.serde2.objectinspector.TestStandardObjectInspectors_java,15,782
org.apache.hadoop.hive.ql.io.parquet.TestDataWritableWriter_java,12,1040
org.apache.hadoop.hive.ql.udf.generic.TestGenericUDFOPMod_java,5,2390
org.apache.hadoop.hive.ql.exec.vector.TestVectorGroupByOperator_java,41,196
org.apache.hadoop.hive.ql.udf.generic.TestGenericUDFOPPositive_java,0,0
org.apache.hadoop.hive.ql.udf.generic.TestGenericUDFMonthsBetween_java,7,1897
org.apache.hadoop.hive.ql.udf.generic.GenericUDFMonthsBetween_java,6,2117
org.apache.hadoop.hive.ql.exec.vector.util.OrcFileGenerator_java,0,0
org.apache.hadoop.hive.ql.io.orc.TestVectorizedORCReader_java,21,513
org.apache.hadoop.hive.ql.udf.generic.GenericUDFSortArray_java,8,1688
org.apache.hadoop.hive.ql.udf.generic.TestGenericUDFSortArray_java,5,2390
org.apache.hadoop.hive.ql.udf.generic.TestGenericUDFRound_java,0,0
org.apache.hadoop.hive.contrib.util.typedbytes.TypedBytesRecordReader_java,8,1688
org.apache.hadoop.hive.ql.udf.generic.TestGenericUDFBRound_java,0,0
org.apache.hadoop.hive.contrib.serde2.TypedBytesSerDe_java,13,931
org.apache.hadoop.hive.ql.udf.generic.GenericUDFFloor_java,0,0
org.apache.hadoop.hive.ql.udf.generic.TestGenericUDFFloor_java,0,0
