name,bugfreq,bugrank
org.apache.hadoop.hive.serde2.io.DateWritable_java,13,931
org.apache.hadoop.hive.ql.util.DateTimeMath_java,7,1897
org.apache.orc.impl.ColumnStatisticsImpl_java,0,0
org.apache.hadoop.hive.serde2.objectinspector.primitive.HiveDecimalObjectInspector_java,0,0
org.apache.hadoop.hive.serde2.objectinspector.primitive.BinaryObjectInspector_java,0,0
org.apache.hadoop.hive.serde2.objectinspector.primitive.DateObjectInspector_java,6,2117
org.apache.hadoop.hive.serde2.objectinspector.primitive.HiveVarcharObjectInspector_java,0,0
org.apache.hadoop.hive.serde2.objectinspector.primitive.BooleanObjectInspector_java,0,0
org.apache.hadoop.hive.serde2.objectinspector.primitive.ByteObjectInspector_java,5,2390
org.apache.hadoop.hive.serde2.objectinspector.primitive.HiveCharObjectInspector_java,0,0
org.apache.hadoop.hive.serde2.objectinspector.primitive.StringObjectInspector_java,0,0
org.apache.hadoop.hive.serde2.objectinspector.primitive.DoubleObjectInspector_java,0,0
org.apache.hadoop.hive.serde2.objectinspector.primitive.ShortObjectInspector_java,0,0
org.apache.hadoop.hive.serde2.objectinspector.primitive.FloatObjectInspector_java,0,0
org.apache.hadoop.hive.serde2.objectinspector.primitive.PrimitiveObjectInspectorUtils_java,52,137
org.apache.hadoop.hive.serde2.lazy.objectinspector.primitive.LazyDateObjectInspector_java,6,2117
org.apache.hadoop.hive.serde2.lazy.LazyDate_java,9,1468
org.apache.hadoop.hive.serde2.binarysortable.BinarySortableSerDe_java,40,205
org.apache.hadoop.hive.serde2.objectinspector.primitive.SettableDateObjectInspector_java,5,2390
org.apache.hadoop.hive.serde2.objectinspector.primitive.PrimitiveObjectInspectorConverter_java,29,331
org.apache.hadoop.hive.serde2.objectinspector.ObjectInspectorUtils_java,75,76
org.apache.hadoop.hive.serde2.lazybinary.LazyBinarySerDe_java,37,221
org.apache.hadoop.hive.serde2.lazybinary.LazyBinaryDate_java,7,1897
org.apache.hadoop.hive.serde2.objectinspector.primitive.WritableDateObjectInspector_java,7,1897
org.apache.hadoop.hive.serde2.objectinspector.primitive.JavaDateObjectInspector_java,7,1897
org.apache.hadoop.hive.serde2.objectinspector.primitive.WritableConstantDateObjectInspector_java,6,2117
org.apache.hadoop.hive.serde2.objectinspector.primitive.PrimitiveObjectInspectorFactory_java,29,331
org.apache.hadoop.hive.serde2.fast.DeserializeRead_java,13,931
org.apache.hadoop.hive.serde2.avro.AvroSerializer_java,18,612
org.apache.hadoop.hive.serde2.avro.AvroDeserializer_java,30,311
org.apache.hive.hcatalog.data.DataType_java,8,1688
org.apache.hive.hcatalog.data.ReaderWriter_java,8,1688
org.apache.hadoop.hive.serde2.binarysortable.fast.BinarySortableSerializeWrite_java,15,782
org.apache.hadoop.hive.ql.exec.vector.TimestampUtils_java,11,1145
org.apache.hadoop.hive.ql.exec.vector.expressions.VectorExpressionWriterFactory_java,36,233
org.apache.hadoop.hive.serde2.lazybinary.fast.LazyBinarySerializeWrite_java,14,844
org.apache.hadoop.hive.serde2.binarysortable.fast.BinarySortableDeserializeRead_java,17,654
org.apache.hadoop.hive.serde2.lazybinary.fast.LazyBinaryDeserializeRead_java,16,713
org.apache.hadoop.hive.serde2.lazy.fast.LazySimpleDeserializeRead_java,28,355
org.apache.hadoop.hive.serde2.lazy.fast.LazySimpleSerializeWrite_java,14,844
org.apache.hadoop.hive.ql.io.parquet.write.DataWritableWriter_java,21,513
org.apache.hadoop.hive.ql.udf.generic.GenericUDF_java,31,293
org.apache.hadoop.hive.ql.exec.vector.VectorizedBatchUtil_java,39,208
org.apache.hadoop.hive.ql.exec.vector.VectorizedRowBatchCtx_java,64,95
org.apache.hadoop.hive.ql.io.orc.WriterImpl_java,68,87
org.apache.hadoop.hive.ql.io.orc.TreeReaderFactory_java,18,612
org.apache.hadoop.hive.ql.io.orc.RecordReaderImpl_java,129,31
org.apache.hadoop.hive.ql.exec.ExplainTask_java,97,52
org.apache.hadoop.hive.ql.parse.BaseSemanticAnalyzer_java,167,19
org.apache.hadoop.hive.ql.exec.vector.VectorExtractRow_java,25,408
org.apache.hadoop.hive.ql.exec.vector.VectorExtractRowDynBatch_java,0,0
org.apache.hadoop.hive.ql.exec.vector.VectorAssignRowSameBatch_java,0,0
org.apache.hadoop.hive.ql.exec.vector.VectorAssignRow_java,16,713
org.apache.hadoop.hive.ql.exec.ColumnStatsUpdateTask_java,22,487
org.apache.hadoop.hive.ql.metadata.formatting.TextMetaDataFormatter_java,42,185
org.apache.hadoop.hive.ql.metadata.formatting.MetaDataPrettyFormatUtils_java,6,2117
org.apache.hadoop.hive.ql.metadata.formatting.MetaDataFormatUtils_java,42,185
org.apache.hadoop.hive.ql.metadata.formatting.JsonMetaDataFormatter_java,29,331
org.apache.hadoop.hive.ql.exec.vector.expressions.CastStringToDate_java,15,782
org.apache.hadoop.hive.ql.exec.vector.expressions.CastLongToDate_java,15,782
org.apache.hadoop.hive.ql.udf.UDFToBoolean_java,27,376
org.apache.hadoop.hive.ql.exec.vector.expressions.CastDecimalToBoolean_java,6,2117
org.apache.hadoop.hive.ql.exec.vector.expressions.VectorUDFUnixTimeStampLong_java,6,2117
org.apache.hadoop.hive.ql.exec.vector.expressions.VectorUDFTimestampFieldLong_java,9,1468
org.apache.hadoop.hive.ql.udf.generic.GenericUDFToUnixTimeStamp_java,14,844
org.apache.hadoop.hive.ql.udf.UDFToString_java,19,573
org.apache.hadoop.hive.ql.exec.vector.udf.VectorUDFArgDesc_java,6,2117
org.apache.hadoop.hive.ql.exec.vector.udf.VectorUDFAdaptor_java,27,376
org.apache.hadoop.hive.ql.exec.vector.VectorizationContext_java,182,16
org.apache.hadoop.hive.ql.parse.TaskCompiler_java,68,87
org.apache.hadoop.hive.ql.exec.ColumnStatsTask_java,29,331
org.apache.hadoop.hive.ql.udf.UDFYear_java,23,458
org.apache.hadoop.hive.ql.udf.UDFMonth_java,22,487
org.apache.hadoop.hive.ql.udf.UDFDayOfMonth_java,21,513
org.apache.hadoop.hive.ql.udf.UDFWeekOfYear_java,15,782
org.apache.hadoop.hive.ql.udf.generic.GenericUDAFComputeStats_java,29,331
org.apache.hadoop.hive.ql.udf.generic.StringNumDistinctValueEstimator_java,0,0
org.apache.hadoop.hive.ql.io.parquet.convert.ETypeConverter_java,29,331
org.apache.hadoop.hive.ql.io.parquet.convert.HiveCollectionConverter_java,11,1145
org.apache.hadoop.hive.ql.exec.vector.VectorColumnAssignFactory_java,22,487
org.apache.hadoop.hive.ql.exec.vector.VectorColumnAssign_java,0,0
org.apache.hadoop.hive.ql.exec.vector.expressions.VectorUDFDateAddScalarCol_java,20,546
org.apache.hadoop.hive.ql.exec.vector.expressions.VectorUDFDateDiffScalarCol_java,19,573
org.apache.hadoop.hive.ql.exec.vector.expressions.VectorUDFDateAddColScalar_java,19,573
org.apache.hadoop.hive.ql.exec.vector.expressions.VectorUDFDateAddColCol_java,19,573
org.apache.hadoop.hive.ql.exec.vector.expressions.VectorUDFDateDiffColScalar_java,19,573
org.apache.hadoop.hive.ql.exec.vector.expressions.VectorUDFDateDiffColCol_java,18,612
org.apache.hadoop.hive.ql.udf.generic.GenericUDFOPDTIMinus_java,7,1897
org.apache.hadoop.hive.ql.udf.generic.GenericUDFOPDTIPlus_java,7,1897
org.apache.hadoop.hive.ql.exec.vector.expressions.CastDateToString_java,7,1897
org.apache.hadoop.hive.ql.exec.vector.expressions.VectorUDFDateLong_java,9,1468
org.apache.hadoop.hive.ql.io.orc.TestOrcFile_java,57,118
org.apache.hadoop.hive.ql.udf.generic.TestGenericUDFDateAdd_java,5,2390
org.apache.hadoop.hive.ql.udf.generic.GenericUDFDateAdd_java,12,1040
org.apache.hadoop.hive.ql.udf.generic.TestGenericUDFTrunc_java,8,1688
org.apache.hadoop.hive.ql.udf.generic.GenericUDFTrunc_java,13,931
org.apache.hadoop.hive.ql.exec.TestFunctionRegistry_java,24,428
org.apache.hadoop.hive.serde2.io.TestDateWritable_java,8,1688
org.apache.hadoop.hive.ql.udf.generic.GenericUDFCurrentDate_java,10,1283
org.apache.hadoop.hive.ql.exec.vector.expressions.TestVectorGenericDateExpressions_java,11,1145
org.apache.hadoop.hive.ql.exec.vector.TestVectorSerDeRow_java,17,654
org.apache.hadoop.hive.ql.udf.generic.TestGenericUDFOPPlus_java,10,1283
org.apache.hadoop.hive.serde2.objectinspector.primitive.JavaConstantDateObjectInspector_java,5,2390
org.apache.hadoop.hive.ql.io.sarg.TestSearchArgumentImpl_java,23,458
org.apache.hadoop.hive.ql.io.orc.TestRecordReaderImpl_java,24,428
org.apache.hadoop.hive.ql.udf.generic.GenericUDFLeast_java,0,0
org.apache.hadoop.hive.ql.udf.generic.TestGenericUDFLeast_java,6,2117
org.apache.hadoop.hive.ql.udf.generic.GenericUDFDateDiff_java,12,1040
