name,bugfreq,bugrank
org.apache.hadoop.hive.ql.exec.vector.expressions.VectorExpression_java,22,487
org.apache.hadoop.hive.ql.exec.vector.VectorizedExpressions_java,0,0
org.apache.hadoop.hive.ql.exec.vector.VectorExpressionDescriptor_java,28,355
org.apache.hadoop.hive.ql.exec.vector.expressions.FuncDecimalToDouble_java,10,1283
org.apache.hadoop.hive.ql.exec.vector.expressions.CastDecimalToDouble_java,6,2117
org.apache.hadoop.hive.ql.exec.vector.expressions.FuncDecimalToLong_java,12,1040
org.apache.hadoop.hive.ql.exec.vector.expressions.ConstantVectorExpression_java,30,311
org.apache.hadoop.hive.ql.exec.vector.expressions.FilterColOrScalar_java,10,1283
org.apache.hadoop.hive.ql.exec.vector.expressions.LongColLessEqualLongScalar_java,11,1145
org.apache.hadoop.hive.ql.exec.vector.expressions.LongColLessEqualLongColumn_java,12,1040
org.apache.hadoop.hive.ql.exec.vector.expressions.LongColEqualLongColumn_java,12,1040
org.apache.hadoop.hive.ql.exec.vector.expressions.LongColEqualLongScalar_java,11,1145
org.apache.hadoop.hive.ql.exec.vector.expressions.LongScalarNotEqualLongColumn_java,12,1040
org.apache.hadoop.hive.ql.exec.vector.expressions.LongColNotEqualLongColumn_java,12,1040
org.apache.hadoop.hive.ql.exec.vector.expressions.LongColNotEqualLongScalar_java,12,1040
org.apache.hadoop.hive.ql.exec.vector.expressions.LongScalarEqualLongColumn_java,12,1040
org.apache.hadoop.hive.ql.plan.VectorReduceSinkInfo_java,6,2117
org.apache.hadoop.hive.ql.plan.ReduceSinkDesc_java,54,130
org.apache.hadoop.hive.ql.plan.VectorReduceSinkDesc_java,15,782
org.apache.hadoop.hive.ql.exec.vector.expressions.LongColGreaterLongColumn_java,11,1145
org.apache.hadoop.hive.ql.exec.vector.expressions.LongColGreaterLongScalar_java,12,1040
org.apache.hadoop.hive.ql.exec.vector.expressions.LongScalarGreaterLongColumn_java,12,1040
org.apache.hadoop.hive.ql.exec.vector.expressions.LongColLessLongScalar_java,12,1040
org.apache.hadoop.hive.ql.exec.vector.expressions.LongColLessLongColumn_java,12,1040
org.apache.hadoop.hive.ql.exec.vector.expressions.LongColGreaterEqualLongScalar_java,12,1040
org.apache.hadoop.hive.ql.exec.vector.expressions.LongScalarGreaterEqualLongColumn_java,12,1040
org.apache.hadoop.hive.ql.exec.vector.expressions.LongColGreaterEqualLongColumn_java,12,1040
org.apache.hadoop.hive.ql.exec.vector.expressions.LongScalarLessLongColumn_java,11,1145
org.apache.hadoop.hive.ql.exec.vector.expressions.LongScalarLessEqualLongColumn_java,12,1040
org.apache.hadoop.hive.ql.exec.vector.expressions.FilterScalarOrColumn_java,10,1283
org.apache.hadoop.hive.ql.exec.vector.expressions.ColOrCol_java,20,546
org.apache.hadoop.hive.ql.exec.vector.expressions.FilterExprOrExpr_java,16,713
org.apache.hadoop.hive.ql.exec.vector.expressions.FilterScalarAndColumn_java,10,1283
org.apache.hadoop.hive.ql.exec.vector.expressions.FilterColAndScalar_java,10,1283
org.apache.hadoop.hive.ql.exec.vector.expressions.FilterExprAndExpr_java,14,844
org.apache.hadoop.hive.ql.exec.vector.expressions.ColAndCol_java,21,513
org.apache.hadoop.hive.ql.exec.vector.expressions.IsNotNull_java,15,782
org.apache.hadoop.hive.ql.exec.vector.expressions.SelectColumnIsNotNull_java,13,931
org.apache.hadoop.hive.ql.exec.vector.expressions.IsNull_java,16,713
org.apache.hadoop.hive.ql.exec.vector.expressions.SelectColumnIsNull_java,13,931
org.apache.hadoop.hive.ql.exec.vector.expressions.NotCol_java,15,782
org.apache.hadoop.hive.ql.exec.vector.expressions.SelectColumnIsFalse_java,13,931
org.apache.hadoop.hive.ql.exec.persistence.MapJoinKey_java,25,408
org.apache.hadoop.hive.ql.exec.persistence.MapJoinKeyObject_java,6,2117
org.apache.hadoop.hive.ql.exec.vector.VectorHashKeyWrapperBatch_java,31,293
org.apache.hadoop.hive.ql.exec.persistence.AbstractMapJoinTableContainer_java,0,0
org.apache.hadoop.hive.ql.exec.persistence.MapJoinTableContainer_java,14,844
org.apache.hadoop.hive.ql.exec.persistence.MapJoinPersistableTableContainer_java,0,0
org.apache.hadoop.hive.ql.exec.vector.VectorGroupKeyHelper_java,17,654
org.apache.hadoop.hive.ql.exec.vector.VectorGroupByOperator_java,61,103
org.apache.hadoop.hive.ql.exec.vector.VectorFilterOperator_java,23,458
org.apache.hadoop.hive.ql.exec.vector.VectorMapJoinBaseOperator_java,11,1145
org.apache.hadoop.hive.ql.exec.vector.VectorMapJoinOperator_java,38,217
