name,freq,rank
org.apache.hadoop.hive.conf.HiveConf_java,1175,1
org.apache.hadoop.hive.ql.parse.SemanticAnalyzer_java,896,2
org.apache.hadoop.hive.metastore.HiveMetaStore_java,471,3
org.apache.hadoop.hive.ql.exec.DDLTask_java,464,4
org.apache.hadoop.hive.ql.metadata.Hive_java,415,5
org.apache.hadoop.hive.ql.exec.Utilities_java,381,6
org.apache.hadoop.hive.ql.Driver_java,368,7
org.apache.hadoop.hive.metastore.ObjectStore_java,347,8
org.apache.hadoop.hive.ql.parse.DDLSemanticAnalyzer_java,334,9
org.apache.hadoop.hive.ql.QTestUtil_java,296,10
org.apache.hadoop.hive.ql.exec.FunctionRegistry_java,264,11
org.apache.hadoop.hive.metastore.HiveMetaStoreClient_java,247,12
org.apache.hadoop.hive.ql.parse.CalcitePlanner_java,213,13
org.apache.hadoop.hive.ql.session.SessionState_java,201,14
org.apache.hadoop.hive.ql.optimizer.physical.Vectorizer_java,191,15
org.apache.hadoop.hive.ql.exec.vector.VectorizationContext_java,182,16
org.apache.hadoop.hive.ql.optimizer.GenMapRedUtils_java,182,16
org.apache.hadoop.hive.ql.exec.FileSinkOperator_java,179,18
org.apache.hadoop.hive.ql.parse.BaseSemanticAnalyzer_java,167,19
org.apache.hadoop.hive.metastore.IMetaStoreClient_java,161,20
org.apache.hadoop.hive.ql.io.orc.OrcInputFormat_java,161,20
org.apache.hadoop.hive.ql.ErrorMsg_java,158,22
org.apache.hadoop.hive.metastore.MetaStoreUtils_java,146,23
org.apache.hadoop.hive.ql.exec.Operator_java,145,24
org.apache.hadoop.hive.metastore.api.ThriftHiveMetastore_java,145,24
org.apache.hadoop.hive.ql.exec.MoveTask_java,145,24
org.apache.hadoop.hive.metastore.txn.TxnHandler_java,143,27
org.apache.hadoop.hive.ql.io.HiveInputFormat_java,137,28
org.apache.hadoop.hive.ql.exec.MapJoinOperator_java,136,29
org.apache.hadoop.hive.shims.Hadoop23Shims_java,135,30
org.apache.hadoop.hive.ql.io.orc.RecordReaderImpl_java,129,31
org.apache.hadoop.hive.ql.exec.tez.DagUtils_java,124,32
org.apache.hadoop.hive.metastore.RawStore_java,122,33
org.apache.hadoop.hive.ql.parse.TypeCheckProcFactory_java,121,34
org.apache.hadoop.hive.shims.HadoopShims_java,115,35
org.apache.hadoop.hive.ql.metadata.Table_java,113,36
org.apache.hadoop.hive.metastore.MetaStoreDirectSql_java,112,37
org.apache.hive.jdbc.TestJdbcDriver2_java,110,38
org.apache.hadoop.hive.cli.CliDriver_java,109,39
org.apache.hadoop.hive.ql.io.orc.TestInputOutputFormat_java,106,40
