name,freq,rank
org.apache.hadoop.hive.serde2.objectinspector.ObjectInspectorUtils_java,28,93
org.apache.hive.jdbc.TestJdbcWithMiniHS2_java,28,93
org.apache.hadoop.hive.ql.parse.ImportSemanticAnalyzer_java,28,93
org.apache.hadoop.hive.ql.plan.TableScanDesc_java,27,99
org.apache.hadoop.hive.metastore.api.ThriftHiveMetastore_java,27,99
org.apache.hadoop.hive.ql.exec.tez.TezProcessor_java,27,99
org.apache.hadoop.hive.ql.optimizer.ConstantPropagateProcFactory_java,27,99
org.apache.hadoop.hive.ql.exec.JoinOperator_java,27,99
org.apache.hive.service.cli.CLIService_java,27,99
org.apache.hadoop.hive.ql.io.CombineHiveInputFormat_java,27,99
org.apache.hadoop.hive.ql.metadata.Partition_java,26,106
org.apache.hadoop.hive.ql.txn.compactor.TestCompactor_java,26,106
org.apache.hadoop.hive.ql.exec.ScriptOperator_java,26,106
org.apache.hadoop.hive.ql.io.orc.TestOrcFile_java,25,109
org.apache.hadoop.hive.ql.exec.tez.HiveSplitGenerator_java,25,109
org.apache.hive.beeline.HiveSchemaTool_java,25,109
org.apache.hadoop.hive.ql.plan.ReduceSinkDesc_java,25,109
org.apache.hadoop.hive.ql.plan.BaseWork_java,25,109
org.apache.hive.jdbc.HiveStatement_java,25,109
org.apache.hadoop.hive.ql.exec.TestExecDriver_java,25,109
org.apache.hadoop.hive.ql.exec.TestOperators_java,24,116
org.apache.hadoop.hive.metastore.txn.CompactionTxnHandler_java,24,116
org.apache.hive.beeline.TestBeeLineWithArgs_java,24,116
org.apache.hive.hcatalog.streaming.TestStreaming_java,24,116
org.apache.hadoop.hive.ql.parse.UpdateDeleteSemanticAnalyzer_java,24,116
org.apache.hadoop.hive.ql.exec.FetchTask_java,24,116
org.apache.hadoop.hive.ql.ppd.OpProcFactory_java,24,116
org.apache.hadoop.hive.ql.exec.vector.TestVectorizationContext_java,23,123
org.apache.hadoop.hive.ql.exec.tez.HashTableLoader_java,23,123
